approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;92;98;334;21;0.9342907731654535;0.0;0.0004220008850097656;323.16762495040894
Random;100;1;90;96;360;27;0.9330107927056197;0.0;8.034706115722656e-05;449.0187430381775
Random;200;0;177;192;710;26;0.9317110705011061;0.0;0.00013494491577148438;740.0838668346405
Random;200;1;167;195;770;33;0.9261461730289661;0.0;0.00013208389282226562;701.583633184433
Random;300;0;258;282;1124;25;0.9277820611667952;0.0;0.0001850128173828125;1044.0145320892334
Random;300;1;258;293;1151;26;0.9266645428480408;0.0;0.0002377033233642578;1062.3880467414856
Random;400;0;337;392;1543;31;0.9275246594645373;0.0;0.00023508071899414062;1493.5695962905884
Random;400;1;342;392;1501;35;0.9291178692859842;0.0;0.00023508071899414062;1409.1758379936218
Random;500;0;417;487;1802;31;0.9310212831113153;0.0;0.00027298927307128906;1413.7073998451233
Random;500;1;418;488;1931;34;0.9266253752327392;0.0;0.0002789497375488281;1891.4308741092682
Longest;100;0;100;100;1439;31;0.8528027823240589;0.0;1.0502679347991943;2971.388438940048
Longest;100;1;100;100;1439;31;0.8528027823240589;0.0;1.0106480121612549;0.006314992904663086
Longest;200;0;200;200;2587;34;0.866862230456487;0.0;0.6744339466094971;2553.5769939422607
Longest;200;1;200;200;2587;34;0.866862230456487;0.0;1.039499044418335;0.011434078216552734
Longest;300;0;300;300;3779;34;0.8695231847529606;0.0;0.6692061424255371;2308.805969953537
Longest;300;1;300;300;3779;34;0.8695231847529606;0.0;0.9836218357086182;0.01778388023376465
Longest;400;0;400;400;4921;34;0.8717119841497432;0.0;0.6696751117706299;2217.3112819194794
Longest;400;1;400;400;4921;34;0.8717119841497432;0.0;0.9251441955566406;0.020846843719482422
Longest;500;0;500;500;6082;39;0.8722832363873081;0.0;0.6691200733184814;2162.238523006439
Longest;500;1;500;500;6082;39;0.8722832363873081;0.0;1.020305871963501;0.028501033782958984
Feature;100;0;98;98;379;24;0.9288663663663663;60.07622504234314;9.342750072479248;342.18931221961975
Feature;100;1;94;96;421;25;0.9229925004572892;60.65551805496216;6.506428241729736;316.14643383026123
Feature;200;0;186;195;926;35;0.9191901562090933;60.36892223358154;26.02487587928772;876.6439502239227
Feature;200;1;181;197;893;32;0.9176730893334563;60.57966613769531;36.432084798812866;648.1055772304535
Feature;300;0;272;293;1263;35;0.9234870055128127;60.84179615974426;54.66272234916687;1062.2376828193665
Feature;300;1;278;289;1348;33;0.9209198638976887;67.18415474891663;54.79024386405945;1177.364619255066
Feature;400;0;357;390;1640;34;0.9252302361630346;66.5521891117096;123.74067497253418;1322.8652119636536
Feature;400;1;361;386;1690;36;0.9241676388764246;60.453433990478516;90.52322435379028;1350.107432603836
Feature;500;0;445;484;2283;37;0.9188064584963369;60.71408200263977;200.1579818725586;1828.77836728096
Feature;500;1;436;494;2233;38;0.9192609465957985;60.952057123184204;181.2702431678772;1566.5731039047241
Sequence;100;0;94;100;457;12;0.9145155256266367;4.167935132980347;0.46193361282348633;284.2870874404907
Sequence;100;1;92;100;1087;23;0.8280335389969942;4.159796953201294;0.5795276165008545;662.1976454257965
Sequence;200;0;165;200;1068;24;0.8967716992074232;5.273055076599121;0.9399676322937012;646.5202264785767
Sequence;200;1;182;196;1967;22;0.8335730603265927;4.135758876800537;0.9781110286712646;996.8463442325592
Sequence;300;0;279;299;2917;28;0.8444183689796789;4.137124061584473;1.464301347732544;1688.2853426933289
Sequence;300;1;240;297;1513;23;0.9043434279572612;4.242940902709961;1.377730369567871;927.9234685897827
Sequence;400;0;359;395;1858;31;0.9223568742164647;4.125178813934326;1.9714627265930176;1747.0499682426453
Sequence;400;1;350;388;3844;25;0.8420317251582148;4.609216928482056;2.486567974090576;1719.8373098373413
Sequence;500;0;438;493;2689;21;0.8966683318602775;4.263842821121216;2.3677103519439697;1237.6572127342224
Sequence;500;1;442;499;4794;23;0.8425202023520136;4.211054086685181;2.507098913192749;1578.7580223083496
