approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;event:concept:name@create;True;0.37703695143194926
Feature;100;0;event:concept:name@finish pre-check;True;0.3474669412599559
Feature;100;0;event:concept:name@check;True;0.3392349274835863
Feature;100;0;trace:department@e7;True;0.3155079560986261
Feature;100;0;trace:year@2017;True;0.30551691705802553
Feature;100;0;trace:year@2016;True;0.299514877889703
Feature;100;0;trace:number_parcels@0.0;True;0.299514877889703
Feature;100;0;event:org:resource@Remote inspection export;True;0.29875271984342394
Feature;100;0;trace:year@2015;True;0.2949984525791398
Feature;100;0;trace:department@4e;True;0.28589051715571867
Feature;100;0;event:concept:name@change department;True;0.2857142857142857
Feature;100;0;trace:penalty_B2@False;True;0.27935823159988726
Feature;100;0;trace:penalty_B2@True;True;0.27199694400864943
Feature;100;0;trace:department@6b;True;0.267979857857611
Feature;100;0;event:org:resource@Inspection automaton;True;0.2512165112842048
Feature;100;0;event:subprocess@Remote;True;0.23984983248550906
Feature;100;0;trace:number_parcels@10.0;True;0.23135094481305607
Feature;100;0;trace:payment_actual0@1000.0;True;0.22394636787385183
Feature;100;0;trace:amount_applied0@1000.0;True;0.22394636787385183
Feature;100;0;trace:department@d4;True;0.22394636787385183
Feature;100;0;trace:number_parcels@20.0;True;0.21602248339554841
Feature;100;0;event:concept:name@check admissibility;True;0.21101398453599896
Feature;100;0;event:concept:name@begin admissibility check;True;0.21101398453599896
Feature;100;0;trace:payment_actual0@0.0;True;0.2075143391598224
Feature;100;0;event:concept:name@finish preparations;True;0.2011016280871993
Feature;100;0;event:concept:name@begin preparations;True;0.2011016280871993
Feature;100;0;event:concept:name@remove document;True;0.2005637784263522
Feature;100;0;trace:number_parcels@25.0;True;0.19834078067031632
Feature;100;0;event:concept:name@clear;True;0.19047619047619047
Feature;100;0;trace:number_parcels@15.0;True;0.188398055086813
Feature;100;0;trace:amount_applied0@0.0;True;0.188398055086813
Feature;100;0;trace:small farmer@True;True;0.188398055086813
Feature;100;0;trace:number_parcels@5.0;True;0.1862067959103094
Feature;100;0;trace:penalty_amount0@0.0;True;0.1785762194244949
Feature;100;0;trace:number_parcels@40.0;True;0.17754970331667094
Feature;100;0;trace:amount_applied0@2000.0;True;0.17754970331667094
Feature;100;0;event:concept:name@prepare external;True;0.16737983495058362
Feature;100;0;trace:payment_actual0@4000.0;True;0.165609693877165
Feature;100;0;trace:amount_applied0@4000.0;True;0.165609693877165
Feature;100;0;trace:payment_actual0@2000.0;True;0.165609693877165
Feature;100;0;trace:young farmer@True;True;0.165609693877165
Feature;100;0;trace:number_parcels@35.0;True;0.15401681242646945
Feature;100;0;event:concept:name@plan;True;0.1527207096642425
Feature;100;0;trace:area@3.0;True;0.15231225557722924
Feature;100;0;trace:area@1.0;True;0.15231225557722924
Feature;100;0;event:doctype@Control summary;True;0.14999530433499206
Feature;100;0;trace:small farmer@False;True;0.14869532691993795
Feature;100;0;event:org:resource@Document processing automaton;True;0.13826479931391517
Feature;100;0;event:concept:name@refuse;True;0.1379728923974526
Feature;100;0;event:concept:name@approve;True;0.1379728923974526
Feature;100;0;event:concept:name@abort external;True;0.1379728923974526
Feature;100;0;trace:area@13.0;True;0.13725270326150324
Feature;100;0;trace:amount_applied0@25000.0;True;0.13725270326150324
Feature;100;0;trace:payment_actual0@33000.0;True;0.13725270326150324
Feature;100;0;trace:amount_applied0@33000.0;True;0.13725270326150324
Feature;100;0;trace:penalty_GP1@True;True;0.13725270326150324
Feature;100;0;trace:payment_actual0@16000.0;True;0.13725270326150324
Feature;100;0;trace:penalty_amount0@100.0;True;0.13725270326150324
Feature;100;0;trace:number_parcels@30.0;True;0.13725270326150324
Feature;100;0;trace:selected_random@True;True;0.13725270326150324
Feature;100;0;trace:area@4.0;True;0.13725270326150324
Feature;100;0;trace:penalty_C4@True;True;0.13725270326150324
Feature;100;0;trace:area@8.0;True;0.13725270326150324
Feature;100;0;trace:payment_actual0@19000.0;True;0.13725270326150324
Feature;100;0;event:concept:name@initialize;True;0.1242281132170781
Feature;100;0;trace:young farmer@False;True;0.1241080922740216
Feature;100;0;trace:area@69.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@48000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@48000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@38000.0;True;0.11975530717331756
Feature;100;0;trace:area@130.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@38000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@25000.0;True;0.11975530717331756
Feature;100;0;trace:rejected@True;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@9000.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@9000.0;True;0.11975530717331756
Feature;100;0;trace:area@5.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@21000.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@21000.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@20000.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@16000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@24000.0;True;0.11975530717331756
Feature;100;0;event:concept:name@prepare offline;True;0.11975530717331756
Feature;100;0;event:concept:name@performed offline;True;0.11975530717331756
Feature;100;0;event:concept:name@take original document;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@14000.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@14000.0;True;0.11975530717331756
Feature;100;0;trace:area@6.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@19000.0;True;0.11975530717331756
Feature;100;0;event:org:resource@0;n/a;True;0.11436002636839586
Feature;100;0;trace:amount_applied0@3000.0;True;0.11029582375291316
Feature;100;0;event:doctype@Reference alignment;True;0.10259035695964738
Feature;100;0;trace:area@171.0;True;0.09851341054817478
Feature;100;0;trace:area@46.0;True;0.09851341054817478
Feature;100;0;trace:area@148.0;True;0.09851341054817478
Feature;100;0;trace:area@112.0;True;0.09851341054817478
Feature;100;0;trace:area@47.0;True;0.09851341054817478
Feature;100;0;trace:area@52.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@44000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@44000.0;True;0.09851341054817478
Feature;100;0;trace:area@82.0;True;0.09851341054817478
Feature;100;0;trace:penalty_amount0@600.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@15000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@15000.0;True;0.09851341054817478
Feature;100;0;trace:area@51.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@26000.0;True;0.09851341054817478
Feature;100;0;trace:area@7.0;True;0.09851341054817478
Feature;100;0;trace:area@11.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@37000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@37000.0;True;0.09851341054817478
Feature;100;0;trace:area@84.0;True;0.09851341054817478
Feature;100;0;trace:area@10.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@13000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@13000.0;True;0.09851341054817478
Feature;100;0;trace:cross_compliance@5.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@20000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@35000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@24000.0;True;0.09851341054817478
Feature;100;0;trace:penalty_CC@True;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@29000.0;True;0.09851341054817478
Feature;100;0;trace:area@97.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@29000.0;True;0.09851341054817478
Feature;100;0;trace:area@29.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@35000.0;True;0.09851341054817478
Feature;100;0;trace:area@2.0;True;0.09851341054817478
Feature;100;0;trace:selected_random@False;True;0.09397231475371318
Feature;100;0;trace:penalty_GP1@False;True;0.09397231475371318
Feature;100;0;trace:penalty_C4@False;True;0.09397231475371318
Feature;100;0;trace:payment_actual0@3000.0;True;0.09131414828534844
Feature;100;0;event:subprocess@Objection;True;0.08099406603465442
Feature;100;0;trace:rejected@False;True;0.07594025467685392
Feature;100;0;trace:area@89.0;True;0.07018274852098412
Feature;100;0;trace:penalty_BGP@True;True;0.07018274852098412
Feature;100;0;trace:area@60.0;True;0.07018274852098412
Feature;100;0;trace:area@77.0;True;0.07018274852098412
Feature;100;0;trace:area@128.0;True;0.07018274852098412
Feature;100;0;trace:area@115.0;True;0.07018274852098412
Feature;100;0;trace:area@117.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@2100.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@3400.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@1600.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@54000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@54000.0;True;0.07018274852098412
Feature;100;0;trace:penalty_JLP1@True;True;0.07018274852098412
Feature;100;0;trace:area@113.0;True;0.07018274852098412
Feature;100;0;trace:area@41.0;True;0.07018274852098412
Feature;100;0;trace:area@162.0;True;0.07018274852098412
Feature;100;0;trace:area@20.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@32000.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@30000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@30000.0;True;0.07018274852098412
Feature;100;0;trace:area@64.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@22000.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@1000.0;True;0.07018274852098412
Feature;100;0;trace:area@43.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@27000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@27000.0;True;0.07018274852098412
Feature;100;0;trace:area@27.0;True;0.07018274852098412
Feature;100;0;trace:area@15.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@26000.0;True;0.07018274852098412
Feature;100;0;trace:area@109.0;True;0.07018274852098412
Feature;100;0;trace:area@75.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@32000.0;True;0.07018274852098412
Feature;100;0;trace:penalty_AUVP@True;True;0.07018274852098412
Feature;100;0;trace:penalty_AGP@True;True;0.07018274852098412
Feature;100;0;trace:penalty_ABP@True;True;0.07018274852098412
Feature;100;0;trace:area@85.0;True;0.07018274852098412
Feature;100;0;trace:area@111.0;True;0.07018274852098412
Feature;100;0;trace:area@65.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@17000.0;True;0.07018274852098412
Feature;100;0;trace:area@68.0;True;0.07018274852098412
Feature;100;0;trace:area@62.0;True;0.07018274852098412
Feature;100;0;trace:area@40.0;True;0.07018274852098412
Feature;100;0;trace:area@67.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@36000.0;True;0.07018274852098412
Feature;100;0;trace:area@123.0;True;0.07018274852098412
Feature;100;0;trace:area@95.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@200.0;True;0.07018274852098412
Feature;100;0;trace:area@79.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@23000.0;True;0.07018274852098412
Feature;100;0;trace:area@26.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@50000.0;True;0.07018274852098412
Feature;100;0;trace:area@167.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@50000.0;True;0.07018274852098412
Feature;100;0;trace:area@157.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@10000.0;True;0.07018274852098412
Feature;100;0;trace:area@32.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@10000.0;True;0.07018274852098412
Feature;100;0;trace:penalty_B3@True;True;0.07018274852098412
Feature;100;0;trace:area@98.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@11000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@11000.0;True;0.07018274852098412
Feature;100;0;trace:penalty_B16@True;True;0.07018274852098412
Feature;100;0;trace:area@121.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@36000.0;True;0.07018274852098412
Feature;100;0;trace:selected_risk@True;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@6000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@6000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@28000.0;True;0.07018274852098412
Feature;100;0;event:org:resource@822fb7;True;0.0696630546019236
Feature;100;0;event:org:resource@c7c478;True;0.06893729152035857
Feature;100;0;event:concept:name@finish editing;True;0.06693726140765616
Feature;100;0;event:subprocess@Declared;True;0.06367337467524346
Feature;100;0;event:concept:name@begin editing;True;0.061206218288454003
Feature;100;0;event:concept:name@calculate;True;0.060620453283332675
Feature;100;0;trace:cross_compliance@0.0;True;0.055114799947997735
Feature;100;0;trace:penalty_CC@False;True;0.055114799947997735
Feature;100;0;event:org:resource@727350;True;0.052089549522050534
Feature;100;0;event:doctype@Inspection;True;0.04941454363966601
Feature;100;0;event:concept:name@mail valid;True;0.04710753386712176
Feature;100;0;event:doctype@Payment application;True;0.041655793319230305
Feature;100;0;event:org:resource@815d19;True;0.041239304942116126
Feature;100;0;event:org:resource@5bf77a;True;0.04041860173653504
Feature;100;0;event:subprocess@Main;True;0.038343034016707474
Feature;100;0;event:subprocess@Application;True;0.03692694304083056
Feature;100;0;event:concept:name@performed;True;0.03480503043708027
Feature;100;0;event:org:resource@8aab8f;True;0.030999652430087905
Feature;100;0;event:org:resource@2044b6;True;0.030999652430087905
Feature;100;0;trace:selected_risk@False;True;0.03042587055452852
Feature;100;0;trace:penalty_JLP1@False;True;0.03042587055452852
Feature;100;0;trace:penalty_BGP@False;True;0.03042587055452852
Feature;100;0;trace:penalty_B3@False;True;0.03042587055452852
Feature;100;0;trace:penalty_B16@False;True;0.03042587055452852
Feature;100;0;trace:penalty_AUVP@False;True;0.03042587055452852
Feature;100;0;trace:penalty_AGP@False;True;0.03042587055452852
Feature;100;0;trace:penalty_ABP@False;True;0.03042587055452852
Feature;100;0;event:org:resource@DP-Z;True;0.02384615655566143
Feature;100;0;event:concept:name@finish payment;True;0.02234950781338371
Feature;100;0;event:success@True;True;0.008478245635896782
Feature;100;0;trace:penalty_amount0@13300.0;False;0.0
Feature;100;0;trace:penalty_amount0@10500.0;False;0.0
Feature;100;0;trace:penalty_BGKV@True;False;0.0
Feature;100;0;trace:payment_actual0@570000.0;False;0.0
Feature;100;0;trace:payment_actual0@580000.0;False;0.0
Feature;100;0;trace:cross_compliance@25.0;False;0.0
Feature;100;0;trace:penalty_amount0@12600.0;False;0.0
Feature;100;0;event:org:resource@parcel correction automaton;False;0.0
Feature;100;0;event:concept:name@correction GFM17;False;0.0
Feature;100;0;trace:cross_compliance@8.0;False;0.0
Feature;100;0;trace:area@235.0;False;0.0
Feature;100;0;trace:area@139.0;False;0.0
Feature;100;0;trace:area@418.0;False;0.0
Feature;100;0;trace:area@193.0;False;0.0
Feature;100;0;trace:area@155.0;False;0.0
Feature;100;0;trace:area@301.0;False;0.0
Feature;100;0;trace:area@160.0;False;0.0
Feature;100;0;trace:area@185.0;False;0.0
Feature;100;0;trace:payment_actual0@113000.0;False;0.0
Feature;100;0;trace:area@338.0;False;0.0
Feature;100;0;trace:amount_applied0@113000.0;False;0.0
Feature;100;0;trace:area@35.0;False;0.0
Feature;100;0;trace:area@143.0;False;0.0
Feature;100;0;trace:area@49.0;False;0.0
Feature;100;0;trace:area@74.0;False;0.0
Feature;100;0;trace:area@129.0;False;0.0
Feature;100;0;trace:area@146.0;False;0.0
Feature;100;0;trace:area@211.0;False;0.0
Feature;100;0;trace:area@151.0;False;0.0
Feature;100;0;trace:area@42.0;False;0.0
Feature;100;0;trace:area@178.0;False;0.0
Feature;100;0;trace:area@132.0;False;0.0
Feature;100;0;trace:area@135.0;False;0.0
Feature;100;0;trace:area@108.0;False;0.0
Feature;100;0;trace:area@252.0;False;0.0
Feature;100;0;trace:area@201.0;False;0.0
Feature;100;0;trace:area@166.0;False;0.0
Feature;100;0;trace:area@272.0;False;0.0
Feature;100;0;trace:number_parcels@100.0;False;0.0
Feature;100;0;trace:area@576.0;False;0.0
Feature;100;0;trace:amount_applied0@584000.0;False;0.0
Feature;100;0;trace:area@223.0;False;0.0
Feature;100;0;trace:penalty_amount0@9900.0;False;0.0
Feature;100;0;trace:payment_actual0@579000.0;False;0.0
Feature;100;0;trace:penalty_AVUVP@True;False;0.0
Feature;100;0;trace:cross_compliance@100.0;False;0.0
Feature;100;0;trace:payment_actual0@584000.0;False;0.0
Feature;100;0;trace:payment_actual0@583000.0;False;0.0
Feature;100;0;trace:cross_compliance@40.0;False;0.0
Feature;100;0;trace:penalty_amount0@8800.0;False;0.0
Feature;100;0;trace:penalty_amount0@5800.0;False;0.0
Feature;100;0;trace:payment_actual0@155000.0;False;0.0
Feature;100;0;trace:penalty_amount0@6200.0;False;0.0
Feature;100;0;trace:penalty_amount0@7600.0;False;0.0
Feature;100;0;trace:penalty_JLP5@True;False;0.0
Feature;100;0;event:org:resource@bbd307;False;0.0
Feature;100;0;trace:payment_actual0@82000.0;False;0.0
Feature;100;0;trace:payment_actual0@151000.0;False;0.0
Feature;100;0;trace:cross_compliance@11.0;False;0.0
Feature;100;0;trace:penalty_amount0@5600.0;False;0.0
