approach;sample_size;avg_dev_activities;stddev;avg_pw_similarity;stddev
Random;100;12.4;0.4898979485566356;0.9293040293040292;0.055110860937304815
Random;200;13.0;0.7745966692414834;0.9318681318681319;0.04876612231690146
Random;300;13.3;0.6403124237432849;0.9279609279609281;0.04765034505760162
Random;400;13.5;0.5;0.9603174603174605;0.03549314249999665
Random;500;13.6;0.4898979485566356;0.961904761904762;0.0356348322549899
Longest;100;14.0;0.0;1.0;0.0
Longest;200;14.0;0.0;1.0;0.0
Longest;300;14.0;0.0;1.0;0.0
Longest;400;14.0;0.0;1.0;0.0
Longest;500;14.0;0.0;1.0;0.0
Feature;100;13.1;0.5385164807134504;0.9404151404151403;0.05084792113429597
Feature;200;13.1;0.5385164807134504;0.9594627594627595;0.042089313010297134
Feature;300;13.5;0.5;0.9603174603174605;0.03549314249999665
Feature;400;13.7;0.45825756949558405;0.9666666666666668;0.0356348322549899
Feature;500;13.6;0.4898979485566356;0.961904761904762;0.0356348322549899
Sequence;100;12.6;0.8;0.8849816849816847;0.060182603962839795
Sequence;200;12.8;0.7483314773547883;0.9218559218559217;0.04844159810714867
Sequence;300;13.7;0.45825756949558394;0.9666666666666667;0.0356348322549899
Sequence;400;13.3;0.6403124237432849;0.9470085470085473;0.04394315371977285
Sequence;500;13.6;0.4898979485566356;0.961904761904762;0.0356348322549899
