approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;97;89;327;27;0.9467339957647826;0.0;9.059906005859375e-05;0.011144638061523438
Random;100;1;92;95;342;25;0.9434804164600893;0.0;8.559226989746094e-05;0.011800527572631836
Random;100;2;90;93;295;21;0.9501605000844737;0.0;7.271766662597656e-05;0.008607864379882812
Random;100;3;88;97;269;21;0.9538593481989709;0.0;7.772445678710938e-05;0.008428812026977539
Random;100;4;88;93;323;25;0.9455770850884583;0.0;7.987022399902344e-05;0.008817434310913086
Random;100;5;89;95;267;22;0.9531496753816459;0.0;7.724761962890625e-05;0.00869607925415039
Random;100;6;93;90;312;27;0.9467031089853092;0.0;7.677078247070312e-05;0.009447097778320312
Random;100;7;89;98;364;24;0.9397849462365592;0.0;7.724761962890625e-05;0.008885860443115234
Random;100;8;92;97;285;27;0.950683509257657;0.0;8.034706115722656e-05;0.00860285758972168
Random;100;9;92;91;321;21;0.943585237258348;0.0;7.677078247070312e-05;0.009122371673583984
Random;200;0;177;187;550;28;0.9528261428939017;0.0;0.0001373291015625;0.012973308563232422
Random;200;1;179;187;572;25;0.9504203865823004;0.0;0.00013017654418945312;0.013949871063232422
Random;200;2;178;191;625;32;0.9463933441976156;0.0;0.00013065338134765625;0.012559890747070312
Random;200;3;182;186;540;26;0.9527269543902652;0.0;0.00012183189392089844;0.012700319290161133
Random;200;4;182;188;598;28;0.9496208930075821;0.0;0.0001285076141357422;0.01368260383605957
Random;200;5;175;190;690;28;0.9426004492138758;0.0;0.0001354217529296875;0.01480245590209961
Random;200;6;173;193;686;24;0.9418791832584936;0.0;0.0001442432403564453;0.013872623443603516
Random;200;7;175;188;544;27;0.9536468984321745;0.0;0.0001461505889892578;0.014846324920654297
Random;200;8;180;188;610;30;0.9465334385134543;0.0;0.0001392364501953125;0.013724565505981445
Random;200;9;176;189;621;27;0.9473058973271107;0.0;0.0001671314239501953;0.014586210250854492
Random;300;0;264;281;825;30;0.9525889316705937;0.0;0.0002560615539550781;0.019014358520507812
Random;300;1;268;281;978;31;0.9437834109329195;0.0;0.0001952648162841797;0.018609046936035156
Random;300;2;267;281;1012;33;0.9429022793951704;0.0;0.0002033710479736328;0.019921541213989258
Random;300;3;260;287;914;27;0.9484780157835401;0.0;0.0001990795135498047;0.019186735153198242
Random;300;4;259;276;930;29;0.9476881538980763;0.0;0.00019884109497070312;0.019329309463500977
Random;300;5;255;287;901;28;0.9483519633132703;0.0;0.00021600723266601562;0.019092321395874023
Random;300;6;265;290;944;33;0.946094106898127;0.0;0.00026226043701171875;0.018906116485595703
Random;300;7;255;282;888;31;0.9488243430152143;0.0;0.00020766258239746094;0.019314050674438477
Random;300;8;267;286;954;33;0.9463442069741282;0.0;0.00021338462829589844;0.018715381622314453
Random;300;9;249;286;920;31;0.9472507310360645;0.0;0.00019598007202148438;0.017943859100341797
Random;400;0;334;370;1247;29;0.947039836914975;0.0;0.0002913475036621094;0.024731159210205078
Random;400;1;344;380;1294;31;0.9454307763673934;0.0;0.0002865791320800781;0.028355836868286133
Random;400;2;335;371;1178;31;0.9500402900886382;0.0;0.0002913475036621094;0.025566577911376953
Random;400;3;331;382;1176;33;0.9504132231404958;0.0;0.00028896331787109375;0.024302959442138672
Random;400;4;339;384;1236;30;0.9476736801998222;0.0;0.0003314018249511719;0.023471832275390625
Random;400;5;343;383;1341;30;0.9443221922358315;0.0;0.00027942657470703125;0.024239778518676758
Random;400;6;341;377;1124;34;0.9520947875378255;0.0;0.0002753734588623047;0.024022817611694336
Random;400;7;342;373;1236;34;0.947795235681703;0.0;0.00029206275939941406;0.024720430374145508
Random;400;8;344;374;1200;30;0.9487617421007686;0.0;0.00028824806213378906;0.025354862213134766
Random;400;9;342;369;1157;31;0.9508349976628564;0.0;0.0002872943878173828;0.023466825485229492
Random;500;0;419;475;1388;33;0.9518406717324174;0.0;0.00035309791564941406;0.027877092361450195
Random;500;1;425;465;1576;32;0.9471779058855074;0.0;0.0003986358642578125;0.02831244468688965
Random;500;2;432;478;1455;32;0.9499122172880305;0.0;0.000354766845703125;0.028731346130371094
Random;500;3;416;468;1473;33;0.9490364322042695;0.0;0.0003628730773925781;0.029033660888671875
Random;500;4;429;471;1589;33;0.9459155888359428;0.0;0.0003380775451660156;0.02894878387451172
Random;500;5;419;475;1663;34;0.9437852820876855;0.0;0.0003364086151123047;0.028390169143676758
