approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;64;59;581;19;0.7584199584199585;0.0;7.581710815429688e-05;0.008990049362182617
Random;100;1;62;61;585;21;0.7467532467532467;0.0;5.817413330078125e-05;0.009429693222045898
Random;100;2;49;45;491;20;0.7655205348615091;0.0;9.72747802734375e-05;0.011285781860351562
Random;100;3;55;55;465;18;0.7742718446601942;0.0;5.6743621826171875e-05;0.0066759586334228516
Random;100;4;53;53;600;20;0.7300944669365722;0.0;6.008148193359375e-05;0.00658416748046875
Random;100;5;58;55;512;19;0.7674841053587648;0.0;0.00011515617370605469;0.008285045623779297
Random;100;6;59;57;522;19;0.7497603068072867;0.0;6.842613220214844e-05;0.008756160736083984
Random;100;7;59;58;532;19;0.7581818181818182;0.0;6.914138793945312e-05;0.00901174545288086
Random;100;8;52;51;443;18;0.7709410548086867;0.0;7.104873657226562e-05;0.009210824966430664
Random;100;9;53;53;530;19;0.7422178988326849;0.0;6.985664367675781e-05;0.006922721862792969
Random;200;0;118;125;1203;20;0.7523162445954292;0.0;0.0001251697540283203;0.01164865493774414
Random;200;1;106;107;1194;20;0.7433361994840928;0.0;0.00020074844360351562;0.010720252990722656
Random;200;2;117;122;1194;20;0.7432258064516128;0.0;0.00012421607971191406;0.0087738037109375
Random;200;3;127;132;1271;20;0.7528679758895587;0.0;0.00012540817260742188;0.01091623306274414
Random;200;4;103;117;902;20;0.7703081232492998;0.0;0.00014328956604003906;0.010675907135009766
Random;200;5;101;101;1049;20;0.7574005550416281;0.0;0.00013446807861328125;0.010370254516601562
Random;200;6;105;112;956;20;0.7797235023041474;0.0;0.00012946128845214844;0.011250495910644531
Random;200;7;106;110;1197;20;0.7297358320162565;0.0;0.0001251697540283203;0.011348247528076172
Random;200;8;106;110;973;20;0.7720243673851921;0.0;0.00016164779663085938;0.011815547943115234
Random;200;9;105;112;1029;19;0.7604748603351955;0.0;0.00013136863708496094;0.012193679809570312
Random;300;0;147;172;1511;20;0.7650443165915098;0.0;0.00022721290588378906;0.014357328414916992
Random;300;1;151;170;1600;21;0.7523603157405974;0.0;0.00018906593322753906;0.013069629669189453
Random;300;2;147;156;1449;20;0.7739822180627047;0.0;0.00034046173095703125;0.014870882034301758
Random;300;3;169;181;1625;21;0.7694708469286424;0.0;0.000186920166015625;0.015308380126953125
Random;300;4;159;176;1513;20;0.7686190549013611;0.0;0.0002465248107910156;0.016829490661621094
Random;300;5;172;182;1601;20;0.762286562731997;0.0;0.00030231475830078125;0.01313638687133789
Random;300;6;154;173;1642;20;0.7562713373905299;0.0;0.00017213821411132812;0.01301431655883789
Random;300;7;158;169;1517;20;0.7592827673754363;0.0;0.0002162456512451172;0.011468887329101562
Random;300;8;150;174;1505;20;0.7615274916811916;0.0;0.0001747608184814453;0.01310110092163086
Random;300;9;142;157;1458;20;0.7750347168646814;0.0;0.00019311904907226562;0.012965679168701172
Random;400;0;189;220;1941;20;0.764869775893398;0.0;0.00024127960205078125;0.0134124755859375
Random;400;1;191;214;2039;20;0.7625203820172374;0.0;0.0002956390380859375;0.014424800872802734
Random;400;2;200;224;1978;21;0.7695175949662083;0.0;0.00023484230041503906;0.017452478408813477
Random;400;3;188;222;1950;20;0.7779296207721216;0.0;0.00023937225341796875;0.015955686569213867
Random;400;4;208;226;2315;20;0.7490786906568394;0.0;0.00024628639221191406;0.015554189682006836
Random;400;5;210;230;2211;20;0.7597261464898935;0.0;0.00028634071350097656;0.013458013534545898
Random;400;6;190;221;1934;20;0.7721757568618212;0.0;0.0004725456237792969;0.017612457275390625
Random;400;7;206;240;2301;20;0.7582983193277311;0.0;0.00022554397583007812;0.014753341674804688
Random;400;8;211;228;2313;21;0.7590625;0.0;0.00036787986755371094;0.014911174774169922
Random;400;9;208;229;2057;19;0.7626629745009808;0.0;0.0002391338348388672;0.014635086059570312
Random;500;0;250;283;2551;20;0.7681962744207178;0.0;0.00028896331787109375;0.016048431396484375
Random;500;1;252;290;2912;21;0.748792270531401;0.0;0.00028967857360839844;0.016979694366455078
Random;500;2;249;292;2676;20;0.7644366197183099;0.0;0.0007760524749755859;0.014627456665039062
Random;500;3;231;277;2636;20;0.7629496402877698;0.0;0.0003509521484375;0.019593477249145508
Random;500;4;257;297;2720;21;0.7580286451383329;0.0;0.0004253387451171875;0.018444538116455078
Random;500;5;258;289;2693;19;0.7656222802436902;0.0;0.00030040740966796875;0.019540786743164062
Random;500;6;246;289;2688;20;0.7620185922974767;0.0;0.0003094673156738281;0.018389225006103516
Random;500;7;240;277;2525;20;0.7657916705314906;0.0;0.00051116943359375;0.016913414001464844
Random;500;8;255;296;2527;20;0.7685473529950541;0.0;0.000335693359375;0.01400446891784668
Random;500;9;248;281;2791;21;0.7535540838852097;0.0;0.00028586387634277344;0.015460491180419922
Longest;100;0;100;100;2826;20;0.7487329954654575;0.0;0.10989260673522949;0.01983332633972168
Longest;100;1;100;100;2826;20;0.7487329954654575;0.0;0.10730910301208496;0.014460325241088867
Longest;100;2;100;100;2826;20;0.7487329954654575;0.0;0.10820960998535156;0.018029451370239258
Longest;100;3;100;100;2826;20;0.7487329954654575;0.0;0.10013008117675781;0.016064882278442383
Longest;100;4;100;100;2826;20;0.7487329954654575;0.0;0.10318613052368164;0.019234657287597656
Longest;100;5;100;100;2826;20;0.7487329954654575;0.0;0.10123300552368164;0.018491029739379883
Longest;100;6;100;100;2826;20;0.7487329954654575;0.0;0.10215115547180176;0.016953706741333008
Longest;100;7;100;100;2826;20;0.7487329954654575;0.0;0.10969233512878418;0.01677107810974121
Longest;100;8;100;100;2826;20;0.7487329954654575;0.0;0.11632776260375977;0.013904571533203125
Longest;100;9;100;100;2826;20;0.7487329954654575;0.0;0.09001493453979492;0.015497922897338867
Longest;200;0;200;200;5309;20;0.7308082344589798;0.0;0.09391522407531738;0.021371841430664062
Longest;200;1;200;200;5309;20;0.7308082344589798;0.0;0.09333252906799316;0.019002437591552734
Longest;200;2;200;200;5309;20;0.7308082344589798;0.0;0.0969536304473877;0.021791458129882812
Longest;200;3;200;200;5309;20;0.7308082344589798;0.0;0.0927574634552002;0.021027326583862305
Longest;200;4;200;200;5309;20;0.7308082344589798;0.0;0.0918436050415039;0.02022528648376465
Longest;200;5;200;200;5309;20;0.7308082344589798;0.0;0.27963900566101074;0.017641544342041016
Longest;200;6;200;200;5309;20;0.7308082344589798;0.0;0.09200215339660645;0.021352529525756836
Longest;200;7;200;200;5309;20;0.7308082344589798;0.0;0.09305930137634277;0.02171182632446289
Longest;200;8;200;200;5309;20;0.7308082344589798;0.0;0.09256792068481445;0.021741390228271484
Longest;200;9;200;200;5309;20;0.7308082344589798;0.0;0.09252262115478516;0.022907018661499023
Longest;300;0;300;300;7655;20;0.720232439149185;0.0;0.09284353256225586;0.02663135528564453
Longest;300;1;300;300;7655;20;0.720232439149185;0.0;0.09286761283874512;0.027466535568237305
Longest;300;2;300;300;7655;20;0.720232439149185;0.0;0.09242749214172363;0.026876211166381836
Longest;300;3;300;300;7655;20;0.720232439149185;0.0;0.09404277801513672;0.02812337875366211
Longest;300;4;300;300;7655;20;0.720232439149185;0.0;0.09273767471313477;0.02470088005065918
Longest;300;5;300;300;7655;20;0.720232439149185;0.0;0.09346246719360352;0.026583433151245117
Longest;300;6;300;300;7655;20;0.720232439149185;0.0;0.09170722961425781;0.024295330047607422
Longest;300;7;300;300;7655;20;0.720232439149185;0.0;0.09378314018249512;0.024126768112182617
Longest;300;8;300;300;7655;20;0.720232439149185;0.0;0.09273505210876465;0.026743173599243164
Longest;300;9;300;300;7655;20;0.720232439149185;0.0;0.0934607982635498;0.024502038955688477
Longest;400;0;400;400;9833;21;0.7147043463123077;0.0;0.09279227256774902;0.029832124710083008
Longest;400;1;400;400;9833;21;0.7147043463123077;0.0;0.09385013580322266;0.03167128562927246
Longest;400;2;400;400;9833;21;0.7147043463123077;0.0;0.09290623664855957;0.03208446502685547
Longest;400;3;400;400;9833;21;0.7147043463123077;0.0;0.09342026710510254;0.032006025314331055
Longest;400;4;400;400;9833;21;0.7147043463123077;0.0;0.09163212776184082;0.030922412872314453
Longest;400;5;400;400;9833;21;0.7147043463123077;0.0;0.0940237045288086;0.030986309051513672
Longest;400;6;400;400;9833;21;0.7147043463123077;0.0;0.09136414527893066;0.03214001655578613
Longest;400;7;400;400;9833;21;0.7147043463123077;0.0;0.09383916854858398;0.03228449821472168
Longest;400;8;400;400;9833;21;0.7147043463123077;0.0;0.09229707717895508;0.029468059539794922
Longest;400;9;400;400;9833;21;0.7147043463123077;0.0;0.09323716163635254;0.029152870178222656
Longest;500;0;500;500;11891;21;0.7107023818212783;0.0;0.0910027027130127;0.033467769622802734
Longest;500;1;500;500;11891;21;0.7107023818212783;0.0;0.09260821342468262;0.03402447700500488
Longest;500;2;500;500;11891;21;0.7107023818212783;0.0;0.09055614471435547;0.03435254096984863
Longest;500;3;500;500;11891;21;0.7107023818212783;0.0;0.09261608123779297;0.03621339797973633
Longest;500;4;500;500;11891;21;0.7107023818212783;0.0;0.09092998504638672;0.0334169864654541
Longest;500;5;500;500;11891;21;0.7107023818212783;0.0;0.09286117553710938;0.03352713584899902
Longest;500;6;500;500;11891;21;0.7107023818212783;0.0;0.09125828742980957;0.03338766098022461
Longest;500;7;500;500;11891;21;0.7107023818212783;0.0;0.09256649017333984;0.035108089447021484
Longest;500;8;500;500;11891;21;0.7107023818212783;0.0;0.09049844741821289;0.22074460983276367
Longest;500;9;500;500;11891;21;0.7107023818212783;0.0;0.0938730239868164;0.03643226623535156
Feature;100;0;81;85;836;19;0.7274209325073362;4.588354110717773;0.24410295486450195;0.0014755725860595703
Feature;100;1;85;85;1018;21;0.7032935004371903;4.657325744628906;0.27265477180480957;0.0016846656799316406
Feature;100;2;89;89;1049;19;0.7189174705251875;4.5463480949401855;0.2657887935638428;0.0017442703247070312
Feature;100;3;79;79;909;19;0.7182269063856168;4.665123462677002;0.23365545272827148;0.0014386177062988281
Feature;100;4;88;91;935;19;0.7102572048342113;4.347632169723511;0.23020720481872559;0.0013949871063232422
Feature;100;5;84;84;1056;20;0.7060951850821041;4.1076273918151855;0.24540996551513672;0.0015478134155273438
Feature;100;6;78;78;707;20;0.75;4.132182359695435;0.21419405937194824;0.0012469291687011719
Feature;100;7;80;80;823;20;0.7249331550802138;4.360401391983032;0.2486579418182373;0.0014612674713134766
Feature;100;8;91;88;1142;19;0.6853127583356297;4.656033515930176;0.24013137817382812;0.0015213489532470703
Feature;100;9;80;80;840;20;0.737171464330413;4.081477165222168;0.22791051864624023;0.0013909339904785156
Feature;200;0;148;155;1640;20;0.7355265279793581;4.085395336151123;0.44774651527404785;0.0028443336486816406
Feature;200;1;168;168;2028;21;0.7152885020356592;4.499401330947876;0.5383248329162598;0.0036895275115966797
Feature;200;2;157;158;1936;20;0.7106993424985057;4.511796951293945;0.476853609085083;0.003011941909790039
Feature;200;3;166;170;2026;19;0.7118065433854908;4.181751012802124;0.4844794273376465;0.0031173229217529297
Feature;200;4;165;167;1820;20;0.7134309557549992;4.165838241577148;0.45761537551879883;0.002881765365600586
Feature;200;5;163;167;2151;19;0.6955844891027456;4.202643394470215;0.48262977600097656;0.0030655860900878906
Feature;200;6;155;157;1691;20;0.7288325849903785;4.33244252204895;0.4462406635284424;0.0028486251831054688
Feature;200;7;158;161;1918;19;0.7143708116157855;4.180643320083618;0.474215030670166;0.003036975860595703
Feature;200;8;162;162;2001;20;0.705648720211827;4.228544235229492;0.4780888557434082;0.0030434131622314453
Feature;200;9;162;168;2040;20;0.6986706056129985;4.214052677154541;0.47467470169067383;0.0030515193939208984
Feature;300;0;240;248;2910;21;0.7184597523219814;4.188453912734985;0.7252216339111328;0.004570484161376953
Feature;300;1;234;245;3119;20;0.6988219389725763;4.231579303741455;0.7252016067504883;0.0046122074127197266
Feature;300;2;244;254;3054;20;0.7093089663049685;4.301432132720947;0.8088536262512207;0.005175352096557617
Feature;300;3;233;247;3029;20;0.7072298472839744;4.644096374511719;0.7943005561828613;0.00499415397644043
Feature;300;4;252;256;3310;20;0.7012096046217728;4.927964448928833;0.8746342658996582;0.005835771560668945
Feature;300;5;243;251;3000;20;0.7135764750811533;4.970206260681152;0.91031813621521;0.006417512893676758
Feature;300;6;229;244;2925;20;0.7067081119021358;4.7900261878967285;0.7779641151428223;0.004923105239868164
Feature;300;7;231;241;3016;19;0.6983396679335867;4.806350231170654;0.7959473133087158;0.004956245422363281
Feature;300;8;227;246;2825;20;0.7126436781609196;4.742842435836792;0.783247709274292;0.0048503875732421875
Feature;300;9;236;248;3139;19;0.7074557315936627;4.6397528648376465;0.8183677196502686;0.005145072937011719
Feature;400;0;305;334;4005;20;0.7024738132382438;4.622048854827881;1.0637845993041992;0.0066068172454833984
Feature;400;1;299;316;3941;21;0.7137981118373276;4.6142730712890625;1.0779800415039062;0.006693363189697266
Feature;400;2;309;334;3896;20;0.7130441187302055;4.579731225967407;1.0545463562011719;0.006576061248779297
Feature;400;3;313;334;3765;21;0.7255030621172354;4.64066481590271;1.0547306537628174;0.006515979766845703
Feature;400;4;305;325;3877;21;0.7139167650531286;4.737630367279053;1.0154273509979248;0.006319522857666016
Feature;400;5;303;327;3738;21;0.7147218194306647;4.4408533573150635;1.0014140605926514;0.006154298782348633
Feature;400;6;314;336;3862;20;0.7120703794825916;4.513148307800293;1.0120275020599365;0.006290435791015625
Feature;400;7;317;329;4106;21;0.7001825483753195;4.522939682006836;1.0344083309173584;0.006402492523193359
Feature;400;8;304;325;3811;20;0.7147027998203324;4.451464891433716;1.0060720443725586;0.0063021183013916016
Feature;400;9;305;326;3592;20;0.7196159550386387;4.456415891647339;0.9836854934692383;0.006051301956176758
Feature;500;0;373;408;4922;21;0.7078064707628376;4.455530643463135;1.28859281539917;0.008010387420654297
Feature;500;1;386;416;5040;21;0.7092419522326064;4.451369762420654;1.297684907913208;0.00828242301940918
Feature;500;2;375;409;4888;20;0.7020238966105827;4.657208681106567;1.2555348873138428;0.007786750793457031
Feature;500;3;385;412;5031;20;0.7153445739504356;4.466256380081177;1.3191730976104736;0.008361101150512695
Feature;500;4;379;411;5001;21;0.7016109785202864;4.4484899044036865;1.2728393077850342;0.007941961288452148
Feature;500;5;384;406;4997;21;0.7091554624294278;4.600505828857422;1.307605504989624;0.008120059967041016
Feature;500;6;373;409;4846;21;0.7081601927130383;4.568559169769287;1.299130916595459;0.008190393447875977
Feature;500;7;385;407;4885;20;0.7149775366124045;4.502967834472656;1.3019061088562012;0.008133411407470703
Feature;500;8;378;401;4884;21;0.7026302971261569;4.476140737533569;1.2606165409088135;0.007865667343139648
