approach;sample_size;repetition;activity;prob
Random;100;0;create;0.22324159021406728
Random;100;0;finish pre-check;0.13761467889908258
Random;100;0;check;0.0856269113149847
Random;100;0;save;0.06116207951070336
Random;100;0;initialize;0.06116207951070336
Random;100;0;calculate protocol;0.0581039755351682
Random;100;0;remove document;0.0581039755351682
Random;100;0;mail income;0.03669724770642202
Random;100;0;clear;0.03363914373088685
Random;100;0;insert document;0.03363914373088685
Random;100;0;mail valid;0.03058103975535168
Random;100;0;finish editing;0.024464831804281346
Random;100;0;begin editing;0.024464831804281346
Random;100;0;begin preparations;0.01834862385321101
Random;100;0;finish preparations;0.01834862385321101
Random;100;0;check admissibility;0.01529051987767584
Random;100;0;begin admissibility check;0.01529051987767584
Random;100;0;prepare external;0.009174311926605505
Random;100;0;approve;0.009174311926605505
Random;100;0;abort external;0.0061162079510703364
Random;100;0;plan;0.0061162079510703364
Random;100;0;finish payment;0.0061162079510703364
Random;100;0;performed offline;0.0061162079510703364
Random;100;0;prepare offline;0.0061162079510703364
Random;100;0;performed;0.0061162079510703364
Random;100;0;restart editing;0.0061162079510703364
Random;100;0;calculate;0.0030581039755351682
Random;100;1;create;0.32456140350877194
Random;100;1;finish pre-check;0.18421052631578946
Random;100;1;check;0.06140350877192982
Random;100;1;mail income;0.05847953216374269
Random;100;1;remove document;0.049707602339181284
Random;100;1;save;0.04093567251461988
Random;100;1;initialize;0.04093567251461988
Random;100;1;clear;0.038011695906432746
Random;100;1;mail valid;0.03508771929824561
Random;100;1;insert document;0.02631578947368421
Random;100;1;begin preparations;0.02046783625730994
Random;100;1;finish preparations;0.02046783625730994
Random;100;1;plan;0.011695906432748537
Random;100;1;performed offline;0.011695906432748537
Random;100;1;prepare offline;0.011695906432748537
Random;100;1;finish editing;0.011695906432748537
Random;100;1;begin editing;0.011695906432748537
Random;100;1;prepare external;0.008771929824561403
Random;100;1;performed;0.005847953216374269
Random;100;1;abort external;0.005847953216374269
Random;100;1;take original document;0.005847953216374269
Random;100;1;restart editing;0.005847953216374269
Random;100;1;revoke withdrawal;0.0029239766081871343
Random;100;1;withdraw;0.0029239766081871343
Random;100;1;finish payment;0.0029239766081871343
Random;100;2;create;0.288135593220339
Random;100;2;finish pre-check;0.1864406779661017
Random;100;2;check;0.09491525423728814
Random;100;2;mail income;0.06779661016949153
Random;100;2;insert document;0.06779661016949153
Random;100;2;initialize;0.04745762711864407
Random;100;2;remove document;0.04745762711864407
Random;100;2;save;0.04067796610169491
Random;100;2;mail valid;0.030508474576271188
Random;100;2;clear;0.030508474576271188
Random;100;2;finish editing;0.02711864406779661
Random;100;2;begin editing;0.020338983050847456
Random;100;2;take original document;0.013559322033898305
Random;100;2;performed;0.006779661016949152
Random;100;2;begin preparations;0.006779661016949152
Random;100;2;finish preparations;0.006779661016949152
Random;100;2;calculate;0.003389830508474576
Random;100;2;finish payment;0.003389830508474576
Random;100;2;performed offline;0.003389830508474576
Random;100;2;prepare offline;0.003389830508474576
Random;100;2;plan;0.003389830508474576
Random;100;3;create;0.3345724907063197
Random;100;3;finish pre-check;0.18587360594795538
Random;100;3;check;0.13011152416356878
Random;100;3;insert document;0.04460966542750929
Random;100;3;initialize;0.040892193308550186
Random;100;3;mail income;0.03717472118959108
Random;100;3;finish editing;0.03345724907063197
Random;100;3;mail valid;0.03345724907063197
Random;100;3;remove document;0.02973977695167286
Random;100;3;clear;0.02973977695167286
Random;100;3;save;0.022304832713754646
Random;100;3;begin editing;0.022304832713754646
Random;100;3;performed;0.01858736059479554
Random;100;3;withdraw;0.011152416356877323
Random;100;3;restart editing;0.0037174721189591076
Random;100;3;finish payment;0.0037174721189591076
Random;100;3;performed offline;0.0037174721189591076
Random;100;3;prepare offline;0.0037174721189591076
Random;100;3;begin preparations;0.0037174721189591076
Random;100;3;finish preparations;0.0037174721189591076
Random;100;3;plan;0.0037174721189591076
Random;100;4;create;0.30959752321981426
Random;100;4;finish pre-check;0.25696594427244585
Random;100;4;check;0.07739938080495357
Random;100;4;clear;0.05572755417956656
Random;100;4;save;0.04643962848297214
Random;100;4;initialize;0.04024767801857585
Random;100;4;mail valid;0.04024767801857585
Random;100;4;mail income;0.030959752321981424
Random;100;4;finish editing;0.021671826625386997
Random;100;4;insert document;0.021671826625386997
Random;100;4;begin editing;0.018575851393188854
Random;100;4;remove document;0.018575851393188854
Random;100;4;take original document;0.006191950464396285
Random;100;4;check admissibility;0.006191950464396285
Random;100;4;begin admissibility check;0.006191950464396285
Random;100;4;decide;0.006191950464396285
Random;100;4;performed;0.006191950464396285
Random;100;4;begin preparations;0.006191950464396285
Random;100;4;finish preparations;0.006191950464396285
Random;100;4;approve;0.0030959752321981426
Random;100;4;revoke withdrawal;0.0030959752321981426
Random;100;4;withdraw;0.0030959752321981426
Random;100;4;performed offline;0.0030959752321981426
Random;100;4;prepare offline;0.0030959752321981426
Random;100;4;plan;0.0030959752321981426
Random;100;5;create;0.33707865168539325
Random;100;5;finish pre-check;0.14232209737827714
Random;100;5;check;0.08614232209737828
Random;100;5;remove document;0.052434456928838954
Random;100;5;clear;0.0449438202247191
Random;100;5;insert document;0.0449438202247191
Random;100;5;save;0.0449438202247191
Random;100;5;initialize;0.0449438202247191
Random;100;5;mail income;0.03745318352059925
Random;100;5;begin preparations;0.026217228464419477
Random;100;5;finish preparations;0.026217228464419477
Random;100;5;finish editing;0.018726591760299626
Random;100;5;prepare external;0.0149812734082397
Random;100;5;begin editing;0.0149812734082397
Random;100;5;abort external;0.011235955056179775
Random;100;5;mail valid;0.011235955056179775
Random;100;5;plan;0.011235955056179775
Random;100;5;performed;0.011235955056179775
Random;100;5;calculate protocol;0.00749063670411985
Random;100;5;finish payment;0.003745318352059925
Random;100;5;performed offline;0.003745318352059925
Random;100;5;prepare offline;0.003745318352059925
Random;100;6;create;0.3076923076923077
Random;100;6;finish pre-check;0.1794871794871795
Random;100;6;check;0.07371794871794872
Random;100;6;clear;0.057692307692307696
Random;100;6;insert document;0.041666666666666664
Random;100;6;remove document;0.041666666666666664
Random;100;6;initialize;0.03205128205128205
Random;100;6;mail valid;0.028846153846153848
Random;100;6;finish editing;0.02564102564102564
Random;100;6;mail income;0.02564102564102564
Random;100;6;save;0.022435897435897436
Random;100;6;begin editing;0.022435897435897436
Random;100;6;begin preparations;0.022435897435897436
Random;100;6;finish preparations;0.022435897435897436
Random;100;6;plan;0.016025641025641024
Random;100;6;begin admissibility check;0.009615384615384616
Random;100;6;prepare external;0.009615384615384616
Random;100;6;withdraw;0.009615384615384616
Random;100;6;performed offline;0.009615384615384616
Random;100;6;prepare offline;0.009615384615384616
Random;100;6;check admissibility;0.00641025641025641
Random;100;6;abort external;0.00641025641025641
Random;100;6;performed;0.00641025641025641
Random;100;6;refuse;0.003205128205128205
