deviating_activity;count
check;11080
remove document;3674
insert document;4967
mail valid;4052
initialize;5129
begin editing;2324
finish editing;2777
save;4560
withdraw;458
revoke withdrawal;193
take original document;810
begin admissibility check;838
check admissibility;781
approve;304
decide;154
plan;1125
finish preparations;2235
begin preparations;2234
prepare offline;596
performed offline;532
finish payment;232
refuse;258
prepare external;903
abort external;637
begin editing from refused;98
revoke approval;30
performed;1090
discard;46
cancel offline;64
change department;47
mail income;5101
create;39049
calculate;71
restart editing;968
finish pre-check;22653
calculate protocol;398
clear;4718
correction GFM17;16
