approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;event:InfectionSuspected@False;True;0.4669737852696147
Feature;100;0;event:Infusion@False;True;0.4599069394901963
Feature;100;0;event:SIRSCriteria2OrMore@False;True;0.4586643221060042
Feature;100;0;event:DiagnosticIC@False;True;0.45148603369566964
Feature;100;0;event:SIRSCritTemperature@False;True;0.4363219682342888
Feature;100;0;event:DiagnosticLacticAcid@False;True;0.4301453282076128
Feature;100;0;event:DiagnosticBlood@False;True;0.41569219381653055
Feature;100;0;event:SIRSCritHeartRate@False;True;0.35121967934313525
Feature;100;0;event:DiagnosticECG@False;True;0.34641016151377546
Feature;100;0;event:DiagnosticXthorax@False;True;0.34641016151377546
Feature;100;0;event:SIRSCritTachypnea@False;True;0.24977876754464576
Feature;100;0;event:concept:name@Admission IC;True;0.22941573387056174
Feature;100;0;event:concept:name@Release B;True;0.2041241452319315
Feature;100;0;event:DiagnosticUrinarySediment@False;True;0.1788087339495817
Feature;100;0;event:org:group@W;True;0.16012815380508713
Feature;100;0;event:concept:name@Release C;True;0.16012815380508713
Feature;100;0;event:DiagnosticUrinaryCulture@False;True;0.15673544798511074
Feature;100;0;ER Registration#ER Triage#CRP;True;0.14285714285714285
Feature;100;0;event:Diagnose@HA;True;0.12340351046845906
Feature;100;0;ER Registration#ER Triage#LacticAcid;True;0.12340351046845906
Feature;100;0;event:Age@40;True;0.12340351046845906
Feature;100;0;event:Age@30;True;0.11724207635210984
Feature;100;0;event:Diagnose@OB;True;0.10050378152592121
Feature;100;0;event:Diagnose@T;True;0.10050378152592121
Feature;100;0;event:concept:name@Release D;True;0.10050378152592121
Feature;100;0;IV Liquid#ER Registration#ER Triage;True;0.10050378152592121
Feature;100;0;event:Age@45;True;0.10050378152592121
Feature;100;0;event:org:group@P;True;0.09607689228305227
Feature;100;0;event:DiagnosticArtAstrup@False;True;0.09205264643940196
Feature;100;0;event:concept:name@ER Sepsis Triage;True;0.08
Feature;100;0;ER Registration#ER Triage#Leucocytes;True;0.07142857142857142
Feature;100;0;event:CRP@6;True;0.07142857142857142
Feature;100;0;event:CRP@72;True;0.0708881205008336
Feature;100;0;event:CRP@384;True;0.0708881205008336
Feature;100;0;event:concept:name@Release E;True;0.0708881205008336
Feature;100;0;Leucocytes#CRP#ER Registration;True;0.0708881205008336
Feature;100;0;ER Sepsis Triage#ER Registration#ER Triage;True;0.0708881205008336
Feature;100;0;event:LacticAcid@9;True;0.0708881205008336
Feature;100;0;event:Diagnose@Z;True;0.0708881205008336
Feature;100;0;event:CRP@289;True;0.0708881205008336
Feature;100;0;event:CRP@223;True;0.0708881205008336
Feature;100;0;event:Age@20;True;0.0708881205008336
Feature;100;0;ER Registration#Leucocytes#CRP;True;0.0708881205008336
Feature;100;0;event:Age@55;True;0.05862103817605492
Feature;100;0;event:org:group@L;True;0.04145133361448391
Feature;100;0;event:Diagnose@AA;True;0.04113450348948635
Feature;100;0;event:CRP@237;True;0.04113450348948635
Feature;100;0;event:Diagnose@G;True;0.03202563076101742
Feature;100;0;event:CRP@323;False;0.0
Feature;100;0;ER Triage#ER Registration#Leucocytes;False;0.0
Feature;100;0;Return ER#CRP#Leucocytes;False;0.0
Feature;100;0;CRP#Admission IC#LacticAcid;False;0.0
Feature;100;0;event:CRP@227;False;0.0
Feature;100;0;event:CRP@352;False;0.0
Feature;100;0;event:Diagnose@MD;False;0.0
Feature;100;0;Leucocytes#IV Liquid#Admission NC;False;0.0
Feature;100;0;event:CRP@296;False;0.0
Feature;100;0;event:Diagnose@HD;False;0.0
Feature;100;0;event:CRP@290;False;0.0
Feature;100;0;event:Diagnose@ED;False;0.0
Feature;100;0;Leucocytes#Leucocytes#Release B;False;0.0
Feature;100;0;event:CRP@260;False;0.0
Feature;100;0;event:CRP@308;False;0.0
Feature;100;0;event:CRP@221;False;0.0
Feature;100;0;event:CRP@246;False;0.0
Feature;100;0;LacticAcid#Leucocytes#ER Triage;False;0.0
Feature;100;0;IV Liquid#ER Triage#Leucocytes;False;0.0
Feature;100;0;IV Antibiotics#Admission NC#Release B;False;0.0
Feature;100;0;Leucocytes#LacticAcid#ER Triage;False;0.0
Feature;100;0;event:Diagnose@ZC;False;0.0
Feature;100;0;event:Diagnose@WC;False;0.0
Feature;100;0;event:CRP@304;False;0.0
Feature;100;0;CRP#Admission NC#Admission IC;False;0.0
Feature;100;0;event:Diagnose@PC;False;0.0
Feature;100;0;Admission NC#Admission NC#LacticAcid;False;0.0
Feature;100;0;Leucocytes#Admission IC#LacticAcid;False;0.0
Feature;100;0;event:CRP@193;False;0.0
Feature;100;0;CRP#CRP#Release C;False;0.0
Feature;100;0;event:Diagnose@KC;False;0.0
Feature;100;0;CRP#Admission NC#LacticAcid;False;0.0
Feature;100;0;LacticAcid#Leucocytes#ER Registration;False;0.0
Feature;100;0;Leucocytes#Release C#Return ER;False;0.0
Feature;100;0;event:Diagnose@JC;False;0.0
Feature;100;0;event:Diagnose@IC;False;0.0
Feature;100;0;IV Liquid#IV Antibiotics#ER Triage;False;0.0
Feature;100;0;Release A#Return ER#CRP;False;0.0
Feature;100;0;CRP#CRP#Release B;False;0.0
Feature;100;0;event:CRP@300;False;0.0
Feature;100;0;event:CRP@298;False;0.0
Feature;100;0;ER Sepsis Triage#Admission NC#Leucocytes;False;0.0
Feature;100;0;event:CRP@224;False;0.0
Feature;100;0;event:Diagnose@AC;False;0.0
Feature;100;0;CRP#ER Sepsis Triage#IV Antibiotics;False;0.0
Feature;100;0;event:Diagnose@ZB;False;0.0
Feature;100;0;Admission NC#ER Sepsis Triage#IV Liquid;False;0.0
Feature;100;0;LacticAcid#Admission NC#ER Sepsis Triage;False;0.0
Feature;100;0;IV Liquid#LacticAcid#IV Antibiotics;False;0.0
Feature;100;0;ER Sepsis Triage#IV Antibiotics#LacticAcid;False;0.0
Feature;100;0;Admission IC#LacticAcid#LacticAcid;False;0.0
Feature;100;0;event:CRP@252;False;0.0
Feature;100;0;LacticAcid#Admission IC#Leucocytes;False;0.0
Feature;100;0;IV Antibiotics#LacticAcid#Admission IC;False;0.0
Feature;100;0;Admission NC#ER Sepsis Triage#IV Antibiotics;False;0.0
Feature;100;0;IV Liquid#Admission NC#ER Sepsis Triage;False;0.0
Feature;100;0;IV Liquid#Admission NC#Admission IC;False;0.0
Feature;100;0;event:Diagnose@TB;False;0.0
Feature;100;0;Leucocytes#Admission NC#Admission IC;False;0.0
Feature;100;0;event:CRP@268;False;0.0
Feature;100;0;event:CRP@241;False;0.0
Feature;100;0;Admission NC#Admission NC#Release B;False;0.0
Feature;100;0;event:Leucocytes@122;False;0.0
Feature;100;0;ER Triage#IV Liquid#Leucocytes;False;0.0
Feature;100;0;ER Sepsis Triage#Admission NC#Release A;False;0.0
Feature;100;0;Leucocytes#ER Sepsis Triage#Admission NC;False;0.0
Feature;100;0;Admission NC#Leucocytes#LacticAcid;False;0.0
Feature;100;0;event:CRP@291;False;0.0
Feature;100;0;event:CRP@220;False;0.0
Feature;100;0;event:CRP@204;False;0.0
Feature;100;0;event:Diagnose@LB;False;0.0
Feature;100;0;ER Sepsis Triage#ER Triage#CRP;False;0.0
Feature;100;0;event:CRP@276;False;0.0
Feature;100;0;event:CRP@257;False;0.0
Feature;100;0;CRP#IV Liquid#Admission NC;False;0.0
Feature;100;0;event:Diagnose@UC;False;0.0
Feature;100;0;event:Diagnose@RC;False;0.0
Feature;100;0;LacticAcid#IV Liquid#Admission NC;False;0.0
Feature;100;0;event:CRP@278;False;0.0
Feature;100;0;CRP#Release C#Return ER;False;0.0
Feature;100;0;event:CRP@232;False;0.0
Feature;100;0;event:Diagnose@GB;False;0.0
Feature;100;0;event:CRP@322;False;0.0
Feature;100;0;event:CRP@183;False;0.0
Feature;100;0;event:CRP@321;False;0.0
Feature;100;0;event:Diagnose@EB;False;0.0
Feature;100;0;LacticAcid#IV Antibiotics#Admission IC;False;0.0
Feature;100;0;event:CRP@217;False;0.0
Feature;100;0;Leucocytes#Leucocytes#Release A;False;0.0
Feature;100;0;event:DiagnosticLiquor@True;False;0.0
Feature;100;0;event:CRP@301;False;0.0
Feature;100;0;ER Sepsis Triage#IV Antibiotics#Admission IC;False;0.0
Feature;100;0;event:CRP@254;False;0.0
Feature;100;0;event:Diagnose@RB;False;0.0
Feature;100;0;LacticAcid#ER Sepsis Triage#IV Antibiotics;False;0.0
Feature;100;0;event:CRP@206;False;0.0
Feature;100;0;event:Diagnose@AB;False;0.0
Feature;100;0;event:CRP@96;False;0.0
Feature;100;0;LacticAcid#Admission IC#LacticAcid;False;0.0
Feature;100;0;CRP#LacticAcid#Admission IC;False;0.0
Feature;100;0;event:Leucocytes@42;False;0.0
Feature;100;0;event:Leucocytes@41;False;0.0
Feature;100;0;event:CRP@101;False;0.0
Feature;100;0;event:CRP@331;False;0.0
Feature;100;0;LacticAcid#Admission NC#IV Liquid;False;0.0
Feature;100;0;event:Diagnose@ZA;False;0.0
Feature;100;0;Leucocytes#CRP#Release D;False;0.0
Feature;100;0;event:Diagnose@YA;False;0.0
Feature;100;0;event:CRP@181;False;0.0
Feature;100;0;LacticAcid#CRP#Release A;False;0.0
Feature;100;0;Leucocytes#IV Liquid#ER Sepsis Triage;False;0.0
Feature;100;0;ER Sepsis Triage#Leucocytes#Leucocytes;False;0.0
Feature;100;0;event:LacticAcid@14;False;0.0
Feature;100;0;ER Registration#CRP#LacticAcid;False;0.0
Feature;100;0;event:CRP@90;False;0.0
Feature;100;0;event:Diagnose@WA;False;0.0
Feature;100;0;ER Triage#IV Liquid#IV Antibiotics;False;0.0
Feature;100;0;ER Sepsis Triage#ER Triage#IV Liquid;False;0.0
Feature;100;0;ER Registration#ER Sepsis Triage#ER Triage;False;0.0
Feature;100;0;event:Diagnose@VA;False;0.0
Feature;100;0;event:Diagnose@UA;False;0.0
Feature;100;0;event:CRP@305;False;0.0
Feature;100;0;event:CRP@314;False;0.0
Feature;100;0;event:CRP@231;False;0.0
Feature;100;0;event:Leucocytes@34;False;0.0
Feature;100;0;IV Antibiotics#ER Triage#LacticAcid;False;0.0
Feature;100;0;IV Liquid#ER Sepsis Triage#IV Antibiotics;False;0.0
Feature;100;0;ER Registration#IV Liquid#ER Sepsis Triage;False;0.0
Feature;100;0;Leucocytes#CRP#Release E;False;0.0
Feature;100;0;Admission NC#Admission NC#Admission IC;False;0.0
Feature;100;0;event:CRP@271;False;0.0
Feature;100;0;event:CRP@234;False;0.0
Feature;100;0;event:CRP@261;False;0.0
Feature;100;0;event:CRP@281;False;0.0
