approach;sample_size;avg_dev_activities;stddev;avg_pw_similarity;stddev
Random;100;19.2;0.8717797887081347;0.9359231411862989;0.03609887849176434
Random;200;19.9;0.3;0.9900000000000002;0.02000000000000002
Random;300;20.2;0.4;0.9830687830687831;0.022794348389987344
Random;400;20.1;0.5385164807134504;0.973174603174603;0.027890474338579125
Random;500;20.2;0.6;0.9679365079365078;0.02858289011730267
Longest;100;20.0;0.0;1.0;0.0
Longest;200;20.0;0.0;1.0;0.0
Longest;300;20.0;0.0;1.0;0.0
Longest;400;21.0;0.0;1.0;0.0
Longest;500;21.0;0.0;1.0;0.0
Feature;100;19.6;0.66332495807108;0.962962962962963;0.030801649900164846
Feature;200;19.8;0.6;0.9673015873015876;0.02894552271876143
Feature;300;19.9;0.5385164807134504;0.9728042328042329;0.028178465592122885
Feature;400;20.5;0.5;0.9735449735449736;0.0236620949999978
Feature;500;20.7;0.45825756949558394;0.9777777777777777;0.023756554836659973
Sequence;100;19.2;0.39999999999999997;0.9801058201058204;0.026356642455952338
Sequence;200;19.5;0.5;0.9633333333333335;0.03055050463303894
Sequence;300;19.6;0.4898979485566356;0.9733333333333333;0.024944382578492963
Sequence;400;20.5;0.6708203932499369;0.9649206349206346;0.03244236317991347
Sequence;500;20.3;0.6403124237432849;0.9563492063492061;0.03150703689091938
