sample_size;time
100;476.2306532859802
100;335.724641084671
100;404.91292095184326
100;363.9424331188202
100;421.1921772956848
200;728.5927748680115
200;843.9034330844879
200;712.9489710330963
200;871.9128160476685
200;837.8797669410706
300;1350.1137070655823
300;1507.2598888874054
300;1135.6028182506561
300;1291.546543121338
300;1261.8788821697235
400;1483.4878280162811
400;1459.917504787445
400;1569.8858590126038
400;1481.6766340732574
400;1761.9730279445648
500;1971.3197450637817
500;2035.697520017624
500;2171.199879169464
500;1731.6171679496765
500;1632.9917769432068
complete;>2700
complete;>2700
complete;>2700
complete;>2700
complete;>2700
