approach;sample_size;repetition;activity;prob
Random;100;0;Admission NC;0.23015873015873015
Random;100;0;IV Antibiotics;0.18253968253968253
Random;100;0;LacticAcid;0.12698412698412698
Random;100;0;ER Sepsis Triage;0.09523809523809523
Random;100;0;Admission IC;0.0873015873015873
Random;100;0;IV Liquid;0.07936507936507936
Random;100;0;Release D;0.047619047619047616
Random;100;0;Release B;0.03968253968253968
Random;100;0;Leucocytes;0.03968253968253968
Random;100;0;ER Triage;0.031746031746031744
Random;100;0;Release C;0.023809523809523808
Random;100;0;CRP;0.015873015873015872
Random;100;1;Admission NC;0.16666666666666666
Random;100;1;IV Antibiotics;0.15079365079365079
Random;100;1;ER Sepsis Triage;0.14285714285714285
Random;100;1;LacticAcid;0.10317460317460317
Random;100;1;ER Triage;0.09523809523809523
Random;100;1;IV Liquid;0.0873015873015873
Random;100;1;Admission IC;0.07936507936507936
Random;100;1;Leucocytes;0.07142857142857142
Random;100;1;Release B;0.05555555555555555
Random;100;1;CRP;0.031746031746031744
Random;100;1;Release D;0.007936507936507936
Random;100;1;Release E;0.007936507936507936
Random;100;2;Admission NC;0.19083969465648856
Random;100;2;IV Antibiotics;0.16793893129770993
Random;100;2;LacticAcid;0.13740458015267176
Random;100;2;ER Sepsis Triage;0.11450381679389313
Random;100;2;IV Liquid;0.08396946564885496
Random;100;2;Leucocytes;0.06870229007633588
Random;100;2;Admission IC;0.06870229007633588
Random;100;2;ER Triage;0.05343511450381679
Random;100;2;Release B;0.04580152671755725
Random;100;2;CRP;0.030534351145038167
Random;100;2;Release C;0.022900763358778626
Random;100;2;Release D;0.015267175572519083
Random;100;3;Admission NC;0.2077922077922078
Random;100;3;IV Antibiotics;0.16883116883116883
Random;100;3;LacticAcid;0.11688311688311688
Random;100;3;ER Sepsis Triage;0.09740259740259741
Random;100;3;ER Triage;0.09740259740259741
Random;100;3;Admission IC;0.08441558441558442
Random;100;3;IV Liquid;0.07142857142857142
Random;100;3;Leucocytes;0.06493506493506493
Random;100;3;Release B;0.03896103896103896
Random;100;3;Release C;0.025974025974025976
Random;100;3;CRP;0.012987012987012988
Random;100;3;Release D;0.012987012987012988
Random;100;4;LacticAcid;0.1893939393939394
Random;100;4;Admission NC;0.1893939393939394
Random;100;4;IV Antibiotics;0.1893939393939394
Random;100;4;IV Liquid;0.11363636363636363
Random;100;4;ER Sepsis Triage;0.06818181818181818
Random;100;4;Admission IC;0.05303030303030303
Random;100;4;Leucocytes;0.05303030303030303
Random;100;4;ER Triage;0.045454545454545456
Random;100;4;Release C;0.030303030303030304
Random;100;4;CRP;0.022727272727272728
Random;100;4;Release B;0.022727272727272728
Random;100;4;ER Registration;0.015151515151515152
Random;100;4;Release D;0.007575757575757576
Random;100;5;Admission NC;0.16556291390728478
Random;100;5;ER Sepsis Triage;0.16556291390728478
Random;100;5;IV Antibiotics;0.12582781456953643
Random;100;5;LacticAcid;0.11920529801324503
Random;100;5;ER Triage;0.11258278145695365
Random;100;5;IV Liquid;0.11258278145695365
Random;100;5;Admission IC;0.059602649006622516
Random;100;5;Leucocytes;0.046357615894039736
Random;100;5;Release C;0.033112582781456956
Random;100;5;CRP;0.019867549668874173
Random;100;5;Release B;0.019867549668874173
Random;100;5;Release E;0.013245033112582781
Random;100;5;Release D;0.006622516556291391
Random;100;6;Admission NC;0.20270270270270271
Random;100;6;IV Antibiotics;0.1891891891891892
Random;100;6;ER Sepsis Triage;0.14189189189189189
Random;100;6;LacticAcid;0.12837837837837837
Random;100;6;ER Triage;0.10810810810810811
Random;100;6;IV Liquid;0.07432432432432433
Random;100;6;Admission IC;0.060810810810810814
Random;100;6;Leucocytes;0.02702702702702703
Random;100;6;Release B;0.02702702702702703
Random;100;6;Release C;0.02027027027027027
Random;100;6;CRP;0.013513513513513514
Random;100;6;Release D;0.006756756756756757
Random;100;7;Admission NC;0.1693548387096774
Random;100;7;IV Antibiotics;0.14516129032258066
Random;100;7;LacticAcid;0.12096774193548387
Random;100;7;ER Sepsis Triage;0.10483870967741936
Random;100;7;ER Triage;0.08064516129032258
Random;100;7;Admission IC;0.08064516129032258
Random;100;7;Release B;0.07258064516129033
Random;100;7;Leucocytes;0.07258064516129033
Random;100;7;IV Liquid;0.06451612903225806
Random;100;7;Release D;0.03225806451612903
Random;100;7;CRP;0.03225806451612903
Random;100;7;Release C;0.016129032258064516
Random;100;7;Release E;0.008064516129032258
Random;100;8;Admission NC;0.16891891891891891
Random;100;8;IV Antibiotics;0.1554054054054054
Random;100;8;LacticAcid;0.14864864864864866
Random;100;8;ER Sepsis Triage;0.10810810810810811
Random;100;8;IV Liquid;0.10135135135135136
Random;100;8;Admission IC;0.08108108108108109
Random;100;8;ER Triage;0.08108108108108109
Random;100;8;Leucocytes;0.07432432432432433
Random;100;8;Release B;0.04054054054054054
Random;100;8;Release D;0.02027027027027027
Random;100;8;CRP;0.013513513513513514
Random;100;8;Release C;0.006756756756756757
Random;100;9;IV Antibiotics;0.17518248175182483
Random;100;9;ER Sepsis Triage;0.15328467153284672
Random;100;9;LacticAcid;0.15328467153284672
Random;100;9;Admission NC;0.145985401459854
Random;100;9;ER Triage;0.08759124087591241
Random;100;9;IV Liquid;0.08759124087591241
Random;100;9;Admission IC;0.08029197080291971
Random;100;9;Leucocytes;0.0364963503649635
Random;100;9;Release C;0.021897810218978103
Random;100;9;CRP;0.021897810218978103
Random;100;9;Release B;0.021897810218978103
Random;100;9;Release E;0.0072992700729927005
Random;100;9;Release D;0.0072992700729927005
Random;200;0;Admission NC;0.19202898550724637
Random;200;0;IV Antibiotics;0.18840579710144928
Random;200;0;LacticAcid;0.15217391304347827
Random;200;0;ER Sepsis Triage;0.10869565217391304
Random;200;0;Admission IC;0.07608695652173914
Random;200;0;IV Liquid;0.07608695652173914
Random;200;0;ER Triage;0.050724637681159424
Random;200;0;Release B;0.043478260869565216
Random;200;0;Leucocytes;0.043478260869565216
Random;200;0;Release C;0.018115942028985508
Random;200;0;CRP;0.018115942028985508
Random;200;0;Release D;0.018115942028985508
Random;200;0;Release E;0.014492753623188406
Random;200;1;Admission NC;0.20318725099601595
Random;200;1;IV Antibiotics;0.16334661354581673
Random;200;1;LacticAcid;0.14342629482071714
Random;200;1;IV Liquid;0.10358565737051793
Random;200;1;Admission IC;0.099601593625498
Random;200;1;ER Sepsis Triage;0.09561752988047809
Random;200;1;Leucocytes;0.06772908366533864
Random;200;1;Release B;0.0398406374501992
Random;200;1;Release C;0.027888446215139442
Random;200;1;ER Triage;0.02390438247011952
Random;200;1;CRP;0.01593625498007968
Random;200;1;Release D;0.01195219123505976
Random;200;1;Release E;0.00398406374501992
Random;200;2;Admission NC;0.1936619718309859
Random;200;2;IV Antibiotics;0.16549295774647887
Random;200;2;LacticAcid;0.11971830985915492
Random;200;2;ER Sepsis Triage;0.11267605633802817
Random;200;2;Admission IC;0.09859154929577464
Random;200;2;IV Liquid;0.09507042253521127
Random;200;2;ER Triage;0.07394366197183098
Random;200;2;Leucocytes;0.04929577464788732
Random;200;2;Release B;0.028169014084507043
Random;200;2;Release D;0.02112676056338028
Random;200;2;CRP;0.02112676056338028
Random;200;2;Release C;0.01056338028169014
Random;200;2;ER Registration;0.007042253521126761
Random;200;2;Release E;0.0035211267605633804
Random;200;3;IV Antibiotics;0.19272727272727272
Random;200;3;Admission NC;0.1890909090909091
Random;200;3;LacticAcid;0.13090909090909092
Random;200;3;ER Sepsis Triage;0.10545454545454545
Random;200;3;Admission IC;0.09090909090909091
Random;200;3;IV Liquid;0.08363636363636363
Random;200;3;Leucocytes;0.06545454545454546
Random;200;3;ER Triage;0.05090909090909091
Random;200;3;Release B;0.02909090909090909
Random;200;3;CRP;0.025454545454545455
Random;200;3;Release D;0.01090909090909091
Random;200;3;Release C;0.01090909090909091
Random;200;3;ER Registration;0.007272727272727273
Random;200;3;Release E;0.007272727272727273
Random;200;4;Admission NC;0.17712177121771217
Random;200;4;IV Antibiotics;0.17343173431734318
Random;200;4;LacticAcid;0.14391143911439114
Random;200;4;ER Sepsis Triage;0.11439114391143912
Random;200;4;Admission IC;0.09225092250922509
Random;200;4;ER Triage;0.07380073800738007
Random;200;4;IV Liquid;0.06642066420664207
Random;200;4;Leucocytes;0.05166051660516605
Random;200;4;Release B;0.04797047970479705
Random;200;4;CRP;0.025830258302583026
Random;200;4;Release D;0.014760147601476014
Random;200;4;Release C;0.01107011070110701
Random;200;4;Release E;0.007380073800738007
Random;200;5;Admission NC;0.20754716981132076
Random;200;5;IV Antibiotics;0.17358490566037735
Random;200;5;LacticAcid;0.1471698113207547
Random;200;5;ER Sepsis Triage;0.09811320754716982
Random;200;5;Admission IC;0.08679245283018867
Random;200;5;IV Liquid;0.0830188679245283
Random;200;5;Leucocytes;0.06415094339622641
Random;200;5;ER Triage;0.045283018867924525
Random;200;5;Release B;0.045283018867924525
Random;200;5;CRP;0.018867924528301886
Random;200;5;Release D;0.01509433962264151
Random;200;5;Release C;0.01509433962264151
Random;200;6;Admission NC;0.19078947368421054
Random;200;6;IV Antibiotics;0.17763157894736842
Random;200;6;LacticAcid;0.13486842105263158
Random;200;6;ER Sepsis Triage;0.11513157894736842
Random;200;6;Admission IC;0.08881578947368421
Random;200;6;Leucocytes;0.06907894736842106
Random;200;6;ER Triage;0.06578947368421052
Random;200;6;IV Liquid;0.05592105263157895
Random;200;6;CRP;0.03618421052631579
Random;200;6;Release B;0.02631578947368421
Random;200;6;Release C;0.019736842105263157
Random;200;6;Release D;0.019736842105263157
Random;200;7;Admission NC;0.16853932584269662
Random;200;7;IV Antibiotics;0.16104868913857678
Random;200;7;LacticAcid;0.1348314606741573
Random;200;7;ER Sepsis Triage;0.10861423220973783
Random;200;7;IV Liquid;0.09363295880149813
Random;200;7;Admission IC;0.0898876404494382
Random;200;7;ER Triage;0.0749063670411985
Random;200;7;Leucocytes;0.0599250936329588
Random;200;7;Release B;0.033707865168539325
Random;200;7;CRP;0.026217228464419477
Random;200;7;Release D;0.026217228464419477
Random;200;7;Release C;0.011235955056179775
Random;200;7;ER Registration;0.00749063670411985
Random;200;7;Release E;0.003745318352059925
Random;200;8;IV Antibiotics;0.16287878787878787
Random;200;8;Admission NC;0.1590909090909091
Random;200;8;ER Sepsis Triage;0.14772727272727273
Random;200;8;LacticAcid;0.13257575757575757
Random;200;8;IV Liquid;0.0946969696969697
Random;200;8;Admission IC;0.09090909090909091
Random;200;8;Release B;0.05303030303030303
Random;200;8;ER Triage;0.04924242424242424
Random;200;8;Leucocytes;0.045454545454545456
Random;200;8;CRP;0.01893939393939394
Random;200;8;Release C;0.01893939393939394
Random;200;8;Release D;0.015151515151515152
Random;200;8;Release E;0.011363636363636364
Random;200;9;Admission NC;0.2103448275862069
Random;200;9;IV Antibiotics;0.16206896551724137
Random;200;9;LacticAcid;0.15517241379310345
Random;200;9;ER Sepsis Triage;0.11379310344827587
Random;200;9;IV Liquid;0.07931034482758621
Random;200;9;ER Triage;0.07241379310344828
Random;200;9;Leucocytes;0.06206896551724138
Random;200;9;Admission IC;0.05517241379310345
Random;200;9;Release B;0.03103448275862069
Random;200;9;CRP;0.02413793103448276
Random;200;9;Release C;0.020689655172413793
Random;200;9;Release D;0.013793103448275862
Random;300;0;Admission NC;0.1875
Random;300;0;IV Antibiotics;0.185
Random;300;0;LacticAcid;0.15
Random;300;0;IV Liquid;0.115
Random;300;0;ER Sepsis Triage;0.1075
Random;300;0;Admission IC;0.075
Random;300;0;Leucocytes;0.045
Random;300;0;Release B;0.04
Random;300;0;ER Triage;0.0375
Random;300;0;CRP;0.0225
Random;300;0;Release C;0.015
Random;300;0;Release D;0.015
Random;300;0;Release E;0.005
Random;300;1;Admission NC;0.18396226415094338
Random;300;1;IV Antibiotics;0.1792452830188679
Random;300;1;LacticAcid;0.1391509433962264
Random;300;1;ER Sepsis Triage;0.11556603773584906
Random;300;1;IV Liquid;0.11084905660377359
Random;300;1;Admission IC;0.0660377358490566
Random;300;1;Leucocytes;0.06367924528301887
Random;300;1;ER Triage;0.05188679245283019
Random;300;1;Release B;0.02358490566037736
Random;300;1;CRP;0.02358490566037736
Random;300;1;Release C;0.02122641509433962
Random;300;1;Release D;0.01650943396226415
Random;300;1;ER Registration;0.0047169811320754715
Random;300;2;Admission NC;0.18475750577367206
Random;300;2;IV Antibiotics;0.18013856812933027
Random;300;2;LacticAcid;0.11316397228637413
Random;300;2;ER Sepsis Triage;0.10392609699769054
Random;300;2;IV Liquid;0.09699769053117784
Random;300;2;ER Triage;0.07852193995381063
Random;300;2;Admission IC;0.07621247113163972
Random;300;2;Leucocytes;0.057736720554272515
Random;300;2;Release B;0.046189376443418015
Random;300;2;Release D;0.025404157043879907
Random;300;2;CRP;0.018475750577367205
Random;300;2;Release C;0.011547344110854504
Random;300;2;ER Registration;0.004618937644341801
Random;300;2;Release E;0.0023094688221709007
Random;300;3;IV Antibiotics;0.17424242424242425
Random;300;3;Admission NC;0.1691919191919192
Random;300;3;LacticAcid;0.14393939393939395
Random;300;3;ER Sepsis Triage;0.12626262626262627
Random;300;3;IV Liquid;0.10606060606060606
Random;300;3;Admission IC;0.0707070707070707
Random;300;3;ER Triage;0.06818181818181818
Random;300;3;Leucocytes;0.05555555555555555
Random;300;3;Release B;0.045454545454545456
Random;300;3;CRP;0.017676767676767676
Random;300;3;Release C;0.015151515151515152
Random;300;3;Release D;0.007575757575757576
Random;300;4;Admission NC;0.1939252336448598
Random;300;4;IV Antibiotics;0.17990654205607476
Random;300;4;LacticAcid;0.14018691588785046
Random;300;4;ER Sepsis Triage;0.10747663551401869
Random;300;4;IV Liquid;0.09813084112149532
