approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;95;98;347;20;0.9330632716049383;0.0;0.0001289844512939453;363.269161939621
Random;100;1;92;97;374;24;0.9281183932346723;0.0;0.00011110305786132812;422.54060435295105
Random;100;2;92;97;357;22;0.9317921283912878;0.0;7.295608520507812e-05;392.90874218940735
Random;200;0;174;196;715;29;0.931104259009443;0.0;0.00015115737915039062;672.7776548862457
Random;200;1;180;197;689;26;0.9334877883965633;0.0;0.00014281272888183594;734.4638221263885
Random;200;2;166;198;783;27;0.9250071832199981;0.0;0.00014209747314453125;614.2842650413513
Random;300;0;253;289;1160;34;0.9256839003139214;0.0;0.00018095970153808594;1031.0557358264923
Random;300;1;257;291;1081;31;0.9297321892875715;0.0;0.00018596649169921875;963.309161901474
Random;300;2;266;292;1037;31;0.933885878227606;0.0;0.00036597251892089844;894.7151696681976
Random;400;0;345;388;1573;32;0.9257107773684707;0.0;0.0004911422729492188;1448.8988659381866
Random;400;1;341;388;1623;33;0.9241163269122873;0.0;0.0006561279296875;1572.3343889713287
Random;400;2;354;390;1587;35;0.9244357680220932;0.0;0.0002377033233642578;1375.7719700336456
Random;500;0;423;487;1906;36;0.9279504044756937;0.0;0.0003361701965332031;2114.3615159988403
Random;500;1;422;492;1694;32;0.9344452614062924;0.0;0.0018172264099121094;1471.0556421279907
Random;500;2;429;491;1791;32;0.9320174606187133;0.0;0.0004429817199707031;1564.4368751049042
Longest;100;0;100;100;1439;31;0.8528027823240589;0.0;1.1177918910980225;2933.6300580501556
Longest;100;1;100;100;1439;31;0.8528027823240589;0.0;1.0432579517364502;0.0060961246490478516
Longest;100;2;100;100;1439;31;0.8528027823240589;0.0;0.6998131275177002;0.005618095397949219
Longest;200;0;200;200;2587;34;0.866862230456487;0.0;0.690640926361084;2476.4579668045044
Longest;200;1;200;200;2587;34;0.866862230456487;0.0;2.402656078338623;0.039498090744018555
Longest;200;2;200;200;2587;34;0.866862230456487;0.0;2.291337013244629;0.03556180000305176
Longest;300;0;300;300;3779;34;0.8695231847529606;0.0;3.1167378425598145;2351.590918779373
Longest;300;1;300;300;3779;34;0.8695231847529606;0.0;1.0426268577575684;0.017091751098632812
Longest;300;2;300;300;3779;34;0.8695231847529606;0.0;0.724437952041626;0.015554666519165039
Longest;400;0;400;400;4921;34;0.8717119841497432;0.0;0.6923210620880127;2089.4947159290314
Longest;400;1;400;400;4921;34;0.8717119841497432;0.0;1.038496971130371;0.022984981536865234
Longest;400;2;400;400;4921;34;0.8717119841497432;0.0;0.716184139251709;0.0202028751373291
Longest;500;0;500;500;6082;39;0.8722832363873081;0.0;0.6953189373016357;2160.841140985489
Longest;500;1;500;500;6082;39;0.8722832363873081;0.0;1.0734491348266602;0.027441740036010742
Longest;500;2;500;500;6082;39;0.8722832363873081;0.0;0.726203203201294;0.025372982025146484
Feature;100;0;95;97;402;27;0.9242795253343379;60.6975839138031;5.625745058059692;275.2672221660614
Feature;100;1;93;94;358;25;0.9306201550387597;61.53245401382446;7.661753416061401;221.7468798160553
Feature;100;2;93;98;512;26;0.9074977416440831;61.608360052108765;7.524567604064941;399.8456404209137
Feature;200;0;182;197;959;32;0.9152302660655882;61.258200883865356;23.141783475875854;788.4270675182343
Feature;200;1;183;195;885;32;0.9184557265272275;61.38692831993103;32.88807201385498;657.7458937168121
Feature;200;2;182;193;853;30;0.9214114612124562;61.62379789352417;27.266472101211548;806.2021198272705
Feature;300;0;276;291;1165;30;0.9289677458691543;61.55613708496094;53.97793889045715;957.2437691688538
Feature;300;1;273;291;1389;27;0.9147591285670451;63.95060992240906;59.23160481452942;955.6739830970764
Feature;300;2;265;293;1298;33;0.9216372856797875;62.436485052108765;65.7059257030487;986.2991654872894
Feature;400;0;370;392;1886;36;0.9162261804290854;61.33897614479065;121.96294283866882;1445.8181869983673
Feature;400;1;362;384;1741;33;0.9214562843995309;60.82675909996033;145.69643759727478;1405.5763335227966
Feature;400;2;356;389;1763;31;0.9204960541149944;61.15485620498657;107.83486413955688;1517.471850156784
Feature;500;0;443;486;1988;33;0.9281454440307948;60.583552837371826;158.24155616760254;1487.3531999588013
Feature;500;1;442;490;2104;35;0.9225787459523108;61.17419123649597;145.98131346702576;1442.0701315402985
Feature;500;2;465;486;2379;36;0.9148258207726182;61.18423104286194;175.30249071121216;1698.902645111084
Sequence;100;0;86;95;473;18;0.9134016843647016;4.161072254180908;0.4384748935699463;192.61968326568604
Sequence;100;1;81;99;391;23;0.9209941402303495;5.254709959030151;0.46080541610717773;188.83443546295166
Sequence;100;2;93;98;638;23;0.8838310269482884;4.16401481628418;0.4465150833129883;380.67921018600464
Sequence;200;0;186;197;1001;27;0.9082072443833105;4.169013023376465;0.9236156940460205;752.0580971240997
Sequence;200;1;185;197;1889;26;0.844064718507512;4.115342140197754;0.944622278213501;927.6954658031464
Sequence;200;2;173;199;1495;22;0.870394451668834;4.1603991985321045;0.9189069271087646;913.5730271339417
Sequence;300;0;222;298;1515;27;0.9004533806426178;5.277287006378174;1.265695333480835;518.558596611023
Sequence;300;1;246;296;1398;20;0.9117479957073417;4.109516143798828;1.3290789127349854;591.8602392673492
Sequence;300;2;282;296;1666;27;0.900992452605931;4.144679069519043;1.3771257400512695;938.4321174621582
Sequence;400;0;373;397;3753;24;0.8463333742783442;5.390130996704102;1.866135597229004;1356.5067825317383
Sequence;400;1;337;395;3875;32;0.8453464240102171;4.156868934631348;1.8358590602874756;889.7001779079437
Sequence;400;2;359;396;3367;21;0.8500222717149221;4.138844013214111;1.8343532085418701;1775.1256725788116
Sequence;500;0;427;494;3133;31;0.8865184004636337;4.155207872390747;2.2300455570220947;1318.7334582805634
Sequence;500;1;406;494;2758;30;0.8962416763853881;4.1551759243011475;2.1948487758636475;937.3255591392517
Sequence;500;2;460;488;3807;33;0.8734795613160519;5.3413708209991455;2.329493522644043;1717.7943584918976
