approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;88;44;72;7;0.9495798319327731;0.0;9.870529174804688e-05;2.3604719638824463
Random;100;1;92;36;51;10;0.9630969609261939;0.0;5.340576171875e-05;0.8646578788757324
Random;100;2;91;39;59;7;0.9569657184536835;0.0;5.412101745605469e-05;0.9595189094543457
Random;100;3;97;41;66;10;0.959284392350401;0.0;5.817413330078125e-05;1.30548095703125
Random;100;4;88;40;67;7;0.954421768707483;0.0;5.984306335449219e-05;0.8877830505371094
Random;100;5;97;42;55;7;0.9654088050314465;0.0;6.103515625e-05;0.9150247573852539
Random;100;6;94;37;47;4;0.9658181818181818;0.0;5.221366882324219e-05;0.38166332244873047
Random;100;7;95;34;56;7;0.962187711006077;0.0;6.198883056640625e-05;0.46851181983947754
Random;100;8;96;32;47;7;0.9668547249647391;0.0;5.698204040527344e-05;0.5594291687011719
Random;100;9;90;37;63;8;0.9516871165644172;0.0;5.984306335449219e-05;0.3102090358734131
Random;200;0;181;77;118;11;0.9608363757052771;0.0;9.489059448242188e-05;1.0683000087738037
Random;200;1;176;78;122;10;0.9560835133189345;0.0;9.512901306152344e-05;0.7376351356506348
Random;200;2;179;78;119;10;0.9581722319859403;0.0;9.393692016601562e-05;0.47014498710632324
Random;200;3;181;61;95;9;0.968322774258086;0.0;9.083747863769531e-05;0.24987220764160156
Random;200;4;180;69;104;8;0.965721819380356;0.0;8.797645568847656e-05;0.38359808921813965
Random;200;5;184;77;112;9;0.9630484988452656;0.0;8.487701416015625e-05;0.14526104927062988
Random;200;6;167;82;130;10;0.9536376604850214;0.0;9.202957153320312e-05;0.18071508407592773
Random;200;7;179;87;128;8;0.9548500881834215;0.0;9.298324584960938e-05;0.4609088897705078
Random;200;8;184;73;101;8;0.9646482324116206;0.0;9.703636169433594e-05;0.11793208122253418
Random;200;9;180;74;118;10;0.9615509938090583;0.0;8.988380432128906e-05;0.07885432243347168
Random;300;0;264;104;160;11;0.9633111671634946;0.0;0.00012373924255371094;0.1021113395690918
Random;300;1;259;104;165;11;0.9616279069767442;0.0;0.00012063980102539062;0.05396389961242676
Random;300;2;263;114;169;11;0.9642100804743753;0.0;0.00011706352233886719;0.6850650310516357
Random;300;3;259;112;172;9;0.9623550010943314;0.0;0.00013017654418945312;0.03063678741455078
Random;300;4;267;108;158;10;0.963586079741876;0.0;0.0001289844512939453;0.03237605094909668
Random;300;5;272;96;144;8;0.9663865546218487;0.0;0.00011897087097167969;0.002012968063354492
Random;300;6;267;118;172;11;0.9596338887585074;0.0;0.0001201629638671875;0.0018939971923828125
Random;300;7;268;98;151;11;0.9661283086585913;0.0;0.00010824203491210938;0.00191497802734375
Random;300;8;265;119;179;9;0.9580992509363296;0.0;0.00010800361633300781;0.0020699501037597656
Random;300;9;257;113;156;8;0.9638805278999768;0.0;0.00011801719665527344;0.008507013320922852
Random;400;0;345;147;207;9;0.9639058413251962;0.0;0.00010585784912109375;0.0023431777954101562
Random;400;1;344;152;231;11;0.9597841225626741;0.0;9.417533874511719e-05;0.002964019775390625
Random;400;2;344;149;218;9;0.9628240109140518;0.0;9.703636169433594e-05;0.002525806427001953
Random;400;3;343;142;207;11;0.9627697841726619;0.0;8.893013000488281e-05;0.002259969711303711
Random;400;4;345;152;236;10;0.9615760338651905;0.0;0.00010204315185546875;0.003034830093383789
Random;400;5;351;150;222;10;0.9615117891816921;0.0;9.799003601074219e-05;0.0024187564849853516
Random;400;6;353;139;207;11;0.9649271433412403;0.0;9.274482727050781e-05;0.002275228500366211
Random;400;7;342;158;221;9;0.9610435395734179;0.0;9.703636169433594e-05;0.0023260116577148438
Random;400;8;342;142;223;11;0.9614986187845304;0.0;0.00010609626770019531;0.0024480819702148438
Random;400;9;341;168;246;11;0.9580777096114519;0.0;0.00010704994201660156;0.002296924591064453
Random;500;0;416;198;285;10;0.9600560616678346;0.0;0.00011873245239257812;0.0031299591064453125
Random;500;1;417;198;305;11;0.9576565320005553;0.0;0.00012421607971191406;0.002914905548095703
Random;500;2;417;182;277;11;0.9618929701472004;0.0;0.00011491775512695312;0.002702951431274414
Random;500;3;431;189;284;11;0.9613026297860744;0.0;0.00011372566223144531;0.002908945083618164
Random;500;4;427;195;282;11;0.9606420097697139;0.0;0.00011920928955078125;0.00298309326171875
Random;500;5;422;202;297;11;0.9587328053355565;0.0;0.00011801719665527344;0.002771139144897461
Random;500;6;421;188;267;11;0.9610446454625037;0.0;0.00011396408081054688;0.0033600330352783203
Random;500;7;425;193;285;11;0.9601788458851475;0.0;0.0001308917999267578;0.0029010772705078125
Random;500;8;437;183;269;11;0.9644415069398546;0.0;0.00011610984802246094;0.0028319358825683594
Random;500;9;425;180;279;11;0.962225832656377;0.0;0.00011491775512695312;0.0029931068420410156
Longest;100;0;100;18;23;8;0.9938055480743334;0.0;0.006425142288208008;0.0014247894287109375
Longest;100;1;100;18;23;8;0.9938055480743334;0.0;0.004173755645751953;0.0018999576568603516
Longest;100;2;100;18;23;8;0.9938055480743334;0.0;0.004054069519042969;0.0013041496276855469
