approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;event:concept:name@finish pre-check;True;0.3900823149095281
Feature;100;0;event:concept:name@create;True;0.34733358988338325
Feature;100;0;event:org:resource@Inspection automaton;True;0.32732683535398854
Feature;100;0;trace:year@2017;True;0.3214029504033481
Feature;100;0;trace:year@2016;True;0.3155079560986261
Feature;100;0;trace:department@e7;True;0.30825739964255383
Feature;100;0;trace:department@6b;True;0.2967283142878418
Feature;100;0;trace:number_parcels@0.0;True;0.28110510020686835
Feature;100;0;trace:penalty_B2@False;True;0.27935823159988726
Feature;100;0;event:concept:name@check;True;0.2688064609902745
Feature;100;0;event:concept:name@clear;True;0.250702998969444
Feature;100;0;trace:penalty_B2@True;True;0.2481223499830102
Feature;100;0;trace:year@2015;True;0.246138336980397
Feature;100;0;trace:department@4e;True;0.23869648112406286
Feature;100;0;trace:payment_actual0@0.0;True;0.23828919256750347
Feature;100;0;trace:amount_applied0@0.0;True;0.23135094481305607
Feature;100;0;trace:department@d4;True;0.22394636787385183
Feature;100;0;trace:number_parcels@5.0;True;0.21889546677318192
Feature;100;0;trace:small farmer@True;True;0.2075143391598224
Feature;100;0;trace:amount_applied0@1000.0;True;0.188398055086813
Feature;100;0;trace:number_parcels@20.0;True;0.188398055086813
Feature;100;0;trace:area@3.0;True;0.17754970331667094
Feature;100;0;trace:payment_actual0@1000.0;True;0.17754970331667094
Feature;100;0;event:subprocess@On-Site;True;0.17126976771553504
Feature;100;0;event:concept:name@remove document;True;0.16650614783267387
Feature;100;0;trace:payment_actual0@15000.0;True;0.165609693877165
Feature;100;0;trace:amount_applied0@15000.0;True;0.165609693877165
Feature;100;0;trace:number_parcels@35.0;True;0.165609693877165
Feature;100;0;trace:number_parcels@30.0;True;0.165609693877165
Feature;100;0;trace:area@1.0;True;0.165609693877165
Feature;100;0;trace:number_parcels@25.0;True;0.165609693877165
Feature;100;0;trace:penalty_amount0@0.0;True;0.16468888121850586
Feature;100;0;trace:small farmer@False;True;0.15559397856603546
Feature;100;0;trace:number_parcels@15.0;True;0.15401681242646945
Feature;100;0;event:concept:name@plan;True;0.1527207096642425
Feature;100;0;trace:penalty_AUVP@True;True;0.15231225557722924
Feature;100;0;trace:penalty_AGP@True;True;0.15231225557722924
Feature;100;0;trace:penalty_ABP@True;True;0.15231225557722924
Feature;100;0;trace:number_parcels@40.0;True;0.15231225557722924
Feature;100;0;event:concept:name@withdraw;True;0.15231225557722924
Feature;100;0;trace:payment_actual0@2000.0;True;0.15231225557722924
Feature;100;0;trace:amount_applied0@2000.0;True;0.15231225557722924
Feature;100;0;event:org:resource@Document processing automaton;True;0.15024434575434525
Feature;100;0;trace:number_parcels@10.0;True;0.1410998689683388
Feature;100;0;event:concept:name@restart editing;True;0.1379728923974526
Feature;100;0;event:concept:name@begin admissibility check;True;0.1379728923974526
Feature;100;0;trace:amount_applied0@70000.0;True;0.13725270326150324
Feature;100;0;trace:amount_applied0@12000.0;True;0.13725270326150324
Feature;100;0;trace:payment_actual0@30000.0;True;0.13725270326150324
Feature;100;0;trace:amount_applied0@17000.0;True;0.13725270326150324
Feature;100;0;trace:penalty_GP1@True;True;0.13725270326150324
Feature;100;0;trace:number_parcels@70.0;True;0.13725270326150324
Feature;100;0;event:concept:name@revoke withdrawal;True;0.13725270326150324
Feature;100;0;trace:penalty_B3@True;True;0.13725270326150324
Feature;100;0;trace:penalty_amount0@100.0;True;0.13725270326150324
Feature;100;0;trace:selected_risk@True;True;0.13725270326150324
Feature;100;0;trace:selected_random@True;True;0.13725270326150324
Feature;100;0;event:concept:name@initialize;True;0.1303271688387321
Feature;100;0;trace:young farmer@False;True;0.1241080922740216
Feature;100;0;event:concept:name@check admissibility;True;0.12006666776115195
Feature;100;0;trace:area@169.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@76000.0;True;0.11975530717331756
Feature;100;0;trace:area@267.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@70000.0;True;0.11975530717331756
Feature;100;0;trace:area@91.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@76000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@54000.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@54000.0;True;0.11975530717331756
Feature;100;0;trace:area@47.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@30000.0;True;0.11975530717331756
Feature;100;0;trace:area@53.0;True;0.11975530717331756
Feature;100;0;trace:number_parcels@50.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@27000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@3000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@25000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@12000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@16000.0;True;0.11975530717331756
Feature;100;0;trace:number_parcels@45.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@50000.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@50000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@11000.0;True;0.11975530717331756
Feature;100;0;trace:payment_actual0@43000.0;True;0.11975530717331756
Feature;100;0;trace:area@133.0;True;0.11975530717331756
Feature;100;0;trace:amount_applied0@43000.0;True;0.11975530717331756
Feature;100;0;trace:area@2.0;True;0.11975530717331756
Feature;100;0;event:subprocess@Objection;True;0.11412182083982254
Feature;100;0;trace:young farmer@True;True;0.11029582375291316
