approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;event:concept:name@Release B;True;0.19834078067031632
Feature;100;0;event:concept:name@Release E;True;0.09851341054817478
Feature;100;0;event:Age@25.0;True;0.09397231475371318
Feature;100;0;event:SIRSCritHeartRate@False;True;0.09095682788275854
Feature;100;0;event:SIRSCriteria2OrMore@False;True;0.08194561698632848
Feature;100;0;event:InfectionSuspected@False;True;0.0735854295884055
Feature;100;0;event:Age@40.0;True;0.07018274852098412
Feature;100;0;event:Diagnose@Q;True;0.07018274852098412
Feature;100;0;event:Age@20.0;True;0.07018274852098412
Feature;100;0;event:DiagnosticIC@False;True;0.06916994297950244
Feature;100;0;event:DiagnosticBlood@False;True;0.06916994297950244
Feature;100;0;event:DiagnosticOther@True;True;0.06858514697280048
Feature;100;0;event:SIRSCritTemperature@False;True;0.06118477026186471
Feature;100;0;event:Infusion@False;True;0.04391297933910555
Feature;100;0;event:DiagnosticXthorax@False;True;0.03944414391309762
Feature;100;0;event:SIRSCritTachypnea@False;True;0.03502712916618225
Feature;100;0;event:Age@30.0;True;0.03042587055452852
Feature;100;0;event:DiagnosticLacticAcid@False;True;0.02665721703671473
Feature;100;0;event:Age@45.0;True;0.021949527197668284
Feature;100;0;event:DiagnosticECG@False;True;0.009801539374067043
Feature;100;0;event:CRP@323.0;False;0.0
Feature;100;0;event:CRP@277.0;False;0.0
Feature;100;0;event:CRP@267.0;False;0.0
Feature;100;0;event:CRP@227.0;False;0.0
Feature;100;0;event:CRP@352.0;False;0.0
Feature;100;0;event:Diagnose@MD;False;0.0
Feature;100;0;event:CRP@296.0;False;0.0
Feature;100;0;event:Diagnose@HD;False;0.0
Feature;100;0;event:CRP@363.0;False;0.0
Feature;100;0;event:CRP@290.0;False;0.0
Feature;100;0;event:Diagnose@ED;False;0.0
Feature;100;0;event:CRP@260.0;False;0.0
Feature;100;0;event:CRP@308.0;False;0.0
Feature;100;0;event:CRP@221.0;False;0.0
Feature;100;0;event:CRP@266.0;False;0.0
Feature;100;0;event:CRP@246.0;False;0.0
Feature;100;0;event:Diagnose@ZC;False;0.0
Feature;100;0;event:CRP@305.0;False;0.0
Feature;100;0;event:CRP@274.0;False;0.0
Feature;100;0;event:Diagnose@WC;False;0.0
Feature;100;0;event:CRP@304.0;False;0.0
Feature;100;0;event:Diagnose@UC;False;0.0
Feature;100;0;event:Diagnose@PC;False;0.0
Feature;100;0;event:CRP@193.0;False;0.0
Feature;100;0;event:Diagnose@KC;False;0.0
Feature;100;0;event:CRP@300.0;False;0.0
