approach;total_size;partition;partition_size
Feature;821;trace:basic payment@True;43809
Feature;821;trace:greening@True;43809
Feature;821;trace:penalty_ABP@False;43105
Feature;821;trace:penalty_AGP@False;43107
Feature;821;trace:penalty_AJLP@False;43748
Feature;821;trace:penalty_AUVP@False;42980
Feature;821;trace:penalty_AVBP@False;43807
Feature;821;trace:penalty_AVGP@False;43807
Feature;821;trace:penalty_AVJLP@False;43806
Feature;821;trace:penalty_AVUVP@False;43807
Feature;821;trace:penalty_B16@False;43698
Feature;821;trace:penalty_B2@False;32282
Feature;821;trace:penalty_B3@False;43004
Feature;821;trace:penalty_B4@False;43618
Feature;821;trace:penalty_B5@False;43653
Feature;821;trace:penalty_B5f@UNDEFINED;43809
Feature;821;trace:penalty_B6@False;43686
Feature;821;trace:penalty_BGK@False;43516
Feature;821;trace:penalty_BGKV@False;43794
Feature;821;trace:penalty_BGP@False;43437
Feature;821;trace:penalty_C16@False;43804
Feature;821;trace:penalty_C4@False;43461
Feature;821;trace:penalty_C9@False;43783
Feature;821;trace:penalty_CC@False;42466
Feature;821;trace:penalty_GP1@False;41484
Feature;821;trace:penalty_JLP1@False;43640
Feature;821;trace:penalty_JLP2@False;43764
Feature;821;trace:penalty_JLP3@False;43797
Feature;821;trace:penalty_JLP5@False;43784
Feature;821;trace:penalty_JLP6@False;43685
Feature;821;trace:penalty_JLP7@False;43808
Feature;821;trace:penalty_V5@False;43808
Feature;821;trace:redistribution@True;43736
Feature;821;trace:rejected@False;43539
Feature;821;trace:selected_manually@False;43486
Feature;821;trace:selected_random@False;41112
Feature;821;trace:selected_risk@False;42002
Feature;821;trace:small farmer@True;2015
Feature;821;trace:young farmer@False;40255
Feature;821;trace:amount_applied0@0.0;3709
Feature;821;trace:area@2.0;1700
Feature;821;trace:cross_compliance@0.0;42424
Feature;821;trace:payment_actual0@0.0;3924
Feature;821;trace:penalty_amount0@0.0;37837
Feature;821;trace:risk_factor@1.0;43808
Feature;821;trace:number_parcels@0.0;11209
Feature;821;trace:department@e7;13170
Feature;821;trace:year@2015;14750
Feature;821;event:concept:name@abort payment;26633
Feature;821;event:concept:name@begin editing;43809
Feature;821;event:concept:name@begin payment;43727
Feature;821;event:concept:name@calculate;43809
Feature;821;event:concept:name@decide;43794
Feature;821;event:concept:name@finish editing;43809
Feature;821;event:concept:name@finish payment;43721
Feature;821;event:concept:name@initialize;43809
Feature;821;event:concept:name@insert document;38868
Feature;821;event:concept:name@mail income;43808
Feature;821;event:concept:name@mail valid;43808
Feature;821;event:concept:name@performed;43803
Feature;821;event:concept:name@save;29707
Feature;821;event:org:resource@0;n/a;43808
Feature;821;event:org:resource@520882;8337
Feature;821;event:org:resource@727350;43808
Feature;821;event:org:resource@76f30e;1772
Feature;821;event:org:resource@DP-Z;43669
Feature;821;event:org:resource@Document processing automaton;43808
Feature;821;event:org:resource@Processing automaton;14745
Feature;821;event:org:resource@Reference alignment processor;29461
Feature;821;event:org:resource@c98a4a;4114
Feature;821;event:org:resource@dde669;1608
Feature;821;event:org:resource@fb5fa8;2926
Feature;821;event:success@True;43809
Feature;821;event:doctype@Control summary;43808
Feature;821;event:doctype@Department control parcels;29297
Feature;821;event:doctype@Entitlement application;15260
Feature;821;event:doctype@Parcel document;14750
Feature;821;event:doctype@Payment application;43809
Feature;821;event:doctype@Reference alignment;43802
Feature;821;event:subprocess@Application;43809
Feature;821;event:subprocess@Main;43809
Feature;821;trace:penalty_B2@True;11527
Feature;821;trace:small farmer@False;41794
Feature;821;trace:amount_applied0@28000.0;600
Feature;821;trace:area@93.0;300
Feature;821;trace:payment_actual0@28000.0;609
Feature;821;trace:number_parcels@15.0;4100
Feature;821;trace:department@d4;5744
Feature;821;event:concept:name@revoke decision;20781
Feature;821;event:org:resource@167893;848
Feature;821;event:org:resource@a5ae3f;5723
Feature;821;event:org:resource@c7c478;2704
Feature;821;trace:amount_applied0@6000.0;1200
Feature;821;trace:area@19.0;400
