approach;total_size;partition;partition_size
Feature;526;event:concept:name@Admission NC;800
Feature;526;event:concept:name@CRP;1007
Feature;526;event:concept:name@ER Registration;1050
Feature;526;event:concept:name@ER Sepsis Triage;1049
Feature;526;event:concept:name@ER Triage;1050
Feature;526;event:concept:name@IV Antibiotics;823
Feature;526;event:concept:name@IV Liquid;753
Feature;526;event:concept:name@LacticAcid;860
Feature;526;event:concept:name@Leucocytes;1012
Feature;526;event:concept:name@Release A;671
Feature;526;event:Age@85.0;149
Feature;526;event:Diagnose@A;2
Feature;526;event:Leucocytes@10.0;201
Feature;526;event:Leucocytes@11.0;193
Feature;526;event:Leucocytes@13.0;164
Feature;526;event:Leucocytes@8.0;190
Feature;526;event:Leucocytes@9.0;190
Feature;526;event:CRP@109.0;14
Feature;526;event:CRP@15.0;18
Feature;526;event:CRP@21.0;26
Feature;526;event:CRP@47.0;13
Feature;526;event:CRP@6.0;21
Feature;526;event:CRP@9.0;24
Feature;526;event:LacticAcid@2.0;239
Feature;526;event:org:group@A;985
Feature;526;event:org:group@B;1013
Feature;526;event:org:group@C;1050
Feature;526;event:org:group@D;46
Feature;526;event:org:group@E;782
Feature;526;event:DiagnosticArtAstrup@True;297
Feature;526;event:DiagnosticBlood@True;823
Feature;526;event:DiagnosticECG@True;765
Feature;526;event:DiagnosticIC@True;848
Feature;526;event:DiagnosticLacticAcid@True;804
Feature;526;event:DiagnosticLiquor@False;1045
Feature;526;event:DiagnosticOther@False;1040
Feature;526;event:DiagnosticSputum@False;1021
Feature;526;event:DiagnosticUrinaryCulture@True;476
Feature;526;event:DiagnosticUrinarySediment@True;519
Feature;526;event:DiagnosticXthorax@True;785
Feature;526;event:DisfuncOrg@True;69
Feature;526;event:Hypotensie@True;54
Feature;526;event:Hypoxie@False;1030
Feature;526;event:InfectionSuspected@True;848
Feature;526;event:Infusion@True;796
Feature;526;event:Oligurie@False;1025
Feature;526;event:SIRSCritHeartRate@True;811
Feature;526;event:SIRSCritLeucos@False;1001
Feature;526;event:SIRSCritTachypnea@True;601
Feature;526;event:SIRSCritTemperature@True;801
Feature;526;event:SIRSCriteria2OrMore@True;853
Feature;526;event:Age@45.0;28
Feature;526;event:Diagnose@B;82
Feature;526;event:CRP@226.0;7
Feature;526;event:CRP@240.0;3
Feature;526;event:CRP@75.0;23
Feature;526;event:LacticAcid@0.0;143
Feature;526;event:org:group@F;200
Feature;526;event:DiagnosticArtAstrup@False;753
Feature;526;event:DiagnosticSputum@True;29
Feature;526;event:DisfuncOrg@False;981
Feature;526;event:Hypotensie@False;996
Feature;526;event:Age@55.0;60
Feature;526;event:Diagnose@C;147
Feature;526;event:Leucocytes@15.0;108
Feature;526;event:Leucocytes@18.0;85
Feature;526;event:Leucocytes@7.0;171
Feature;526;event:CRP@186.0;9
Feature;526;event:CRP@27.0;17
Feature;526;event:CRP@81.0;21
Feature;526;event:LacticAcid@UNDEFINED;193
Feature;526;event:org:group@G;147
Feature;526;event:org:group@H;50
Feature;526;event:DiagnosticXthorax@False;265
Feature;526;event:SIRSCritTachypnea@False;449
Feature;526;event:concept:name@Return ER;294
Feature;526;event:Age@70.0;110
Feature;526;event:Diagnose@D;23
Feature;526;event:CRP@171.0;16
Feature;526;event:CRP@49.0;8
Feature;526;event:LacticAcid@1.0;515
Feature;526;event:org:group@?;294
Feature;526;event:DiagnosticUrinaryCulture@False;574
Feature;526;event:DiagnosticUrinarySediment@False;531
Feature;526;event:Age@75.0;135
Feature;526;event:Diagnose@UNDEFINED;253
Feature;526;event:CRP@265.0;3
Feature;526;event:Age@50.0;36
Feature;526;event:Diagnose@E;67
Feature;526;event:org:group@I;118
Feature;526;event:Age@60.0;71
Feature;526;event:Diagnose@F;8
Feature;526;event:Leucocytes@24.0;31
Feature;526;event:CRP@111.0;10
Feature;526;event:CRP@77.0;23
Feature;526;event:concept:name@Admission IC;110
Feature;526;event:concept:name@Release B;56
Feature;526;event:Age@80.0;129
Feature;526;event:Diagnose@G;44
Feature;526;event:Leucocytes@6.0;158
Feature;526;event:CRP@135.0;14
Feature;526;event:CRP@144.0;8
Feature;526;event:CRP@78.0;19
Feature;526;event:org:group@J;22
Feature;526;event:org:group@K;18
Feature;526;event:DiagnosticBlood@False;227
Feature;526;event:DiagnosticECG@False;285
Feature;526;event:DiagnosticIC@False;202
Feature;526;event:DiagnosticLacticAcid@False;246
Feature;526;event:InfectionSuspected@False;202
Feature;526;event:Infusion@False;254
Feature;526;event:SIRSCritTemperature@False;249
Feature;526;event:SIRSCriteria2OrMore@False;197
Feature;526;event:Diagnose@H;51
Feature;526;event:CRP@14.0;24
Feature;526;event:org:group@L;65
Feature;526;event:org:group@M;82
Feature;526;event:CRP@43.0;12
Feature;526;event:CRP@66.0;17
Feature;526;event:Leucocytes@14.0;132
Feature;526;event:Leucocytes@17.0;72
Feature;526;event:CRP@67.0;21
Feature;526;event:CRP@82.0;14
Feature;526;event:Diagnose@J;2
Feature;526;event:CRP@103.0;9
Feature;526;event:CRP@85.0;15
Feature;526;event:org:group@N;43
Feature;526;event:Age@90.0;155
Feature;526;event:Leucocytes@UNDEFINED;39
Feature;526;event:CRP@UNDEFINED;103
Feature;526;event:SIRSCritHeartRate@False;239
Feature;526;event:Diagnose@K;22
Feature;526;event:CRP@151.0;8
Feature;526;event:CRP@153.0;15
Feature;526;event:org:group@O;179
Feature;526;event:Age@30.0;18
Feature;526;event:Age@20.0;11
Feature;526;event:CRP@102.0;16
Feature;526;event:CRP@242.0;4
Feature;526;event:CRP@332.0;3
Feature;526;event:org:group@P;58
Feature;526;event:CRP@205.0;4
Feature;526;event:LacticAcid@3.0;96
Feature;526;event:org:group@Q;62
Feature;526;event:Leucocytes@12.0;157
Feature;526;event:Leucocytes@16.0;85
Feature;526;event:Leucocytes@20.0;49
Feature;526;event:CRP@292.0;4
Feature;526;event:Leucocytes@26.0;22
Feature;526;event:CRP@107.0;14
Feature;526;event:CRP@121.0;7
Feature;526;event:CRP@228.0;5
Feature;526;event:CRP@25.0;21
Feature;526;event:LacticAcid@6.0;8
Feature;526;event:Diagnose@M;10
Feature;526;event:CRP@136.0;18
Feature;526;event:CRP@68.0;18
Feature;526;event:CRP@28.0;18
Feature;526;event:CRP@71.0;19
Feature;526;event:Leucocytes@5.0;113
Feature;526;event:org:group@R;54
Feature;526;event:CRP@23.0;20
Feature;526;event:CRP@58.0;17
Feature;526;event:Leucocytes@2.0;35
Feature;526;event:CRP@8.0;27
Feature;526;event:concept:name@Release C;25
Feature;526;event:CRP@166.0;6
Feature;526;event:CRP@350.0;2
Feature;526;event:CRP@133.0;18
Feature;526;event:CRP@110.0;14
Feature;526;event:Diagnose@N;11
Feature;526;event:CRP@33.0;14
Feature;526;event:CRP@87.0;13
Feature;526;event:Leucocytes@36.0;4
Feature;526;event:CRP@216.0;8
Feature;526;event:DiagnosticOther@True;10
Feature;526;event:SIRSCritLeucos@True;49
Feature;526;event:Age@65.0;78
Feature;526;event:Leucocytes@4.0;72
Feature;526;event:Leucocytes@3.0;53
Feature;526;event:CRP@127.0;9
Feature;526;event:CRP@17.0;34
Feature;526;event:CRP@59.0;18
Feature;526;event:CRP@84.0;19
Feature;526;event:Diagnose@P;5
Feature;526;event:CRP@100.0;12
Feature;526;event:CRP@112.0;13
Feature;526;event:CRP@74.0;14
Feature;526;event:org:group@S;31
Feature;526;event:Leucocytes@19.0;58
Feature;526;event:Leucocytes@21.0;39
Feature;526;event:Leucocytes@22.0;31
Feature;526;event:CRP@156.0;10
Feature;526;event:CRP@207.0;4
Feature;526;event:CRP@213.0;17
Feature;526;event:CRP@64.0;10
Feature;526;event:Hypoxie@True;20
Feature;526;event:Oligurie@True;25
Feature;526;event:LacticAcid@4.0;36
Feature;526;event:concept:name@Release D;24
Feature;526;event:Diagnose@Q;13
Feature;526;event:CRP@223.0;4
Feature;526;event:CRP@282.0;4
Feature;526;event:Diagnose@R;22
Feature;526;event:CRP@214.0;7
Feature;526;event:CRP@230.0;3
Feature;526;event:CRP@93.0;15
Feature;526;event:CRP@140.0;10
Feature;526;event:CRP@149.0;10
Feature;526;event:CRP@169.0;13
Feature;526;event:CRP@10.0;17
Feature;526;event:Diagnose@S;13
Feature;526;event:CRP@5.0;11
Feature;526;event:CRP@69.0;18
Feature;526;event:CRP@219.0;8
Feature;526;event:CRP@48.0;14
Feature;526;event:Age@35.0;28
Feature;526;event:CRP@39.0;17
Feature;526;event:CRP@184.0;5
Feature;526;event:CRP@76.0;12
Feature;526;event:CRP@80.0;13
Feature;526;event:CRP@237.0;5
Feature;526;event:CRP@12.0;20
Feature;526;event:CRP@54.0;13
Feature;526;event:Diagnose@T;4
Feature;526;event:CRP@157.0;7
Feature;526;event:CRP@177.0;12
Feature;526;event:CRP@294.0;2
Feature;526;event:org:group@T;30
Feature;526;event:Diagnose@U;9
Feature;526;event:CRP@119.0;18
Feature;526;event:CRP@259.0;3
Feature;526;event:Leucocytes@23.0;32
Feature;526;event:Leucocytes@0.0;17
Feature;526;event:Leucocytes@1.0;33
Feature;526;event:CRP@130.0;12
Feature;526;event:CRP@88.0;14
Feature;526;event:CRP@94.0;17
Feature;526;event:CRP@155.0;10
Feature;526;event:CRP@243.0;3
Feature;526;event:CRP@319.0;3
Feature;526;event:CRP@343.0;3
Feature;526;event:CRP@208.0;4
Feature;526;event:CRP@65.0;11
Feature;526;event:CRP@139.0;10
Feature;526;event:CRP@263.0;3
Feature;526;event:Diagnose@W;8
Feature;526;event:CRP@201.0;4
Feature;526;event:CRP@38.0;13
Feature;526;event:CRP@51.0;14
Feature;526;event:CRP@91.0;16
Feature;526;event:Diagnose@Y;10
Feature;526;event:CRP@255.0;2
Feature;526;event:Diagnose@Z;9
Feature;526;event:CRP@70.0;18
Feature;526;event:CRP@97.0;15
Feature;526;event:CRP@335.0;3
Feature;526;event:LacticAcid@8.0;8
Feature;526;event:CRP@178.0;4
Feature;526;event:CRP@63.0;8
Feature;526;event:Diagnose@AA;10
Feature;526;event:CRP@125.0;8
Feature;526;event:CRP@182.0;9
Feature;526;event:CRP@60.0;14
Feature;526;event:CRP@79.0;13
Feature;526;event:Diagnose@BA;3
Feature;526;event:CRP@120.0;15
Feature;526;event:CRP@22.0;19
Feature;526;event:CRP@52.0;15
Feature;526;event:CRP@20.0;26
Feature;526;event:CRP@34.0;12
Feature;526;event:CRP@55.0;18
Feature;526;event:CRP@7.0;21
Feature;526;event:LacticAcid@5.0;20
Feature;526;event:CRP@30.0;14
Feature;526;event:Leucocytes@38.0;3
Feature;526;event:CRP@128.0;14
Feature;526;event:CRP@145.0;13
Feature;526;event:CRP@11.0;27
Feature;526;event:Leucocytes@27.0;15
Feature;526;event:Leucocytes@28.0;5
Feature;526;event:Leucocytes@33.0;4
Feature;526;event:CRP@32.0;21
Feature;526;event:Diagnose@CA;9
Feature;526;event:CRP@262.0;2
Feature;526;event:CRP@150.0;10
Feature;526;event:CRP@108.0;8
Feature;526;event:CRP@16.0;26
Feature;526;event:LacticAcid@9.0;4
Feature;526;event:CRP@218.0;2
Feature;526;event:CRP@283.0;2
Feature;526;event:CRP@198.0;4
Feature;526;event:CRP@247.0;3
Feature;526;event:CRP@42.0;16
Feature;526;event:LacticAcid@7.0;9
Feature;526;event:CRP@31.0;22
Feature;526;event:org:group@U;18
Feature;526;event:Leucocytes@25.0;17
Feature;526;event:CRP@116.0;14
Feature;526;event:CRP@117.0;15
Feature;526;event:CRP@19.0;27
Feature;526;event:CRP@185.0;14
Feature;526;event:CRP@26.0;22
Feature;526;event:CRP@415.0;3
Feature;526;event:Diagnose@EA;2
Feature;526;event:org:group@V;24
Feature;526;event:CRP@44.0;12
Feature;526;event:CRP@124.0;15
Feature;526;event:CRP@210.0;8
Feature;526;event:CRP@175.0;4
Feature;526;event:CRP@233.0;3
Feature;526;event:CRP@239.0;11
Feature;526;event:CRP@98.0;14
Feature;526;event:org:group@W;54
Feature;526;event:CRP@73.0;22
Feature;526;event:CRP@146.0;12
Feature;526;event:CRP@126.0;16
Feature;526;event:CRP@35.0;9
Feature;526;event:CRP@13.0;26
Feature;526;event:CRP@152.0;14
Feature;526;event:CRP@174.0;8
Feature;526;event:CRP@176.0;8
Feature;526;event:CRP@188.0;10
Feature;526;event:CRP@196.0;5
Feature;526;event:CRP@315.0;3
Feature;526;event:CRP@318.0;4
Feature;526;event:CRP@320.0;5
Feature;526;event:CRP@40.0;17
Feature;526;event:CRP@50.0;20
Feature;526;event:CRP@61.0;7
Feature;526;event:CRP@83.0;14
Feature;526;event:CRP@197.0;3
Feature;526;event:CRP@211.0;2
Feature;526;event:CRP@256.0;3
Feature;526;event:CRP@312.0;3
Feature;526;event:Leucocytes@29.0;11
Feature;526;event:Leucocytes@30.0;10
Feature;526;event:Leucocytes@32.0;4
Feature;526;event:Leucocytes@35.0;6
Feature;526;event:CRP@187.0;14
Feature;526;event:CRP@289.0;3
Feature;526;event:CRP@36.0;21
Feature;526;event:CRP@46.0;7
Feature;526;event:Diagnose@FA;2
Feature;526;event:CRP@62.0;18
Feature;526;event:Diagnose@GA;4
Feature;526;event:CRP@165.0;8
Feature;526;event:CRP@142.0;8
Feature;526;event:CRP@189.0;14
Feature;526;event:Diagnose@HA;4
Feature;526;event:CRP@57.0;10
Feature;526;event:CRP@147.0;11
Feature;526;event:CRP@89.0;16
Feature;526;event:CRP@148.0;11
Feature;526;event:CRP@299.0;3
Feature;526;event:CRP@138.0;5
Feature;526;event:CRP@18.0;14
Feature;526;event:CRP@113.0;15
Feature;526;event:CRP@190.0;5
Feature;526;event:CRP@280.0;5
Feature;526;event:CRP@118.0;13
Feature;526;event:CRP@245.0;5
Feature;526;event:CRP@195.0;4
Feature;526;event:CRP@37.0;17
Feature;526;event:Diagnose@KA;8
Feature;526;event:CRP@143.0;13
Feature;526;event:CRP@163.0;10
Feature;526;event:CRP@170.0;9
Feature;526;event:CRP@225.0;5
Feature;526;event:CRP@248.0;6
Feature;526;event:Age@40.0;23
Feature;526;event:Leucocytes@44.0;4
