approach;sample_size;avg_dev_activities;stddev;avg_pw_similarity;stddev
Random;100;24.0;2.449489742783178;0.7497896519790573;0.0683893203283523
Random;200;27.5;2.202271554554524;0.7368171940015655;0.08510782438488357
Random;300;30.6;2.009975124224178;0.8368871183751007;0.05910393335293641
Random;400;31.3;1.676305461424021;0.87632791918766;0.04814014652395465
Random;500;32.6;1.2806248474865698;0.8866077294508667;0.04538439340811219
Longest;100;32.0;0.0;1.0;0.0
Longest;200;34.0;0.0;1.0;0.0
Longest;300;34.0;0.0;1.0;0.0
Longest;400;34.0;0.0;1.0;0.0
Longest;500;34.0;0.0;1.0;0.0
Feature;100;23.4;3.6660605559646724;0.6832490671433298;0.09968615939457029
Feature;200;29.7;1.8466185312619385;0.8094101001430223;0.056472154043508006
Feature;300;30.5;2.6172504656604803;0.8404522205681808;0.06846695460937204
Feature;400;33.4;1.2806248474865698;0.8935151754759596;0.04434770934943504
Feature;500;32.7;2.147091055358389;0.8724181799245051;0.04848120757156451
Sequence;100;21.3;4.648655719667784;0.5965182051279486;0.15495009541971166
Sequence;200;22.8;4.331281565541543;0.647041822678116;0.11331695722459913
Sequence;300;27.2;3.026549190084311;0.7406311738021535;0.06518891628825164
Sequence;400;28.5;3.170173496829472;0.7792113753120263;0.08664891619684667
Sequence;500;26.8;3.026549190084311;0.7079357126799638;0.0804079857406022
