approach;sample_size;repetition;activity;prob
Random;100;0;W_Completeren aanvraag;0.31497418244406195
Random;100;0;W_Nabellen offertes;0.23924268502581755
Random;100;0;W_Valideren aanvraag;0.08605851979345955
Random;100;0;A_CANCELLED;0.04647160068846816
Random;100;0;O_CANCELLED;0.04130808950086059
Random;100;0;O_SENT;0.025817555938037865
Random;100;0;O_CREATED;0.025817555938037865
Random;100;0;O_SELECTED;0.025817555938037865
Random;100;0;W_Afhandelen leads;0.024096385542168676
Random;100;0;A_DECLINED;0.024096385542168676
Random;100;0;O_SENT_BACK;0.022375215146299483
Random;100;0;A_ACTIVATED;0.020654044750430294
Random;100;0;O_ACCEPTED;0.020654044750430294
Random;100;0;A_APPROVED;0.020654044750430294
Random;100;0;A_REGISTERED;0.020654044750430294
Random;100;0;O_DECLINED;0.01721170395869191
Random;100;0;A_ACCEPTED;0.012048192771084338
Random;100;0;A_FINALIZED;0.010327022375215147
Random;100;0;W_Beoordelen fraude;0.0017211703958691911
Random;100;1;W_Completeren aanvraag;0.2564102564102564
Random;100;1;W_Nabellen offertes;0.21367521367521367
Random;100;1;W_Valideren aanvraag;0.10085470085470086
Random;100;1;O_SENT;0.03076923076923077
Random;100;1;O_CREATED;0.03076923076923077
Random;100;1;O_SELECTED;0.03076923076923077
Random;100;1;A_ACTIVATED;0.03076923076923077
Random;100;1;A_APPROVED;0.03076923076923077
Random;100;1;A_REGISTERED;0.03076923076923077
Random;100;1;O_ACCEPTED;0.03076923076923077
Random;100;1;O_CANCELLED;0.03076923076923077
Random;100;1;O_SENT_BACK;0.02735042735042735
Random;100;1;A_CANCELLED;0.02735042735042735
Random;100;1;A_DECLINED;0.02564102564102564
Random;100;1;W_Afhandelen leads;0.02564102564102564
Random;100;1;W_Nabellen incomplete dossiers;0.023931623931623933
Random;100;1;A_ACCEPTED;0.020512820512820513
Random;100;1;A_FINALIZED;0.018803418803418803
Random;100;1;O_DECLINED;0.010256410256410256
Random;100;1;W_Wijzigen contractgegevens;0.0017094017094017094
Random;100;1;W_Beoordelen fraude;0.0017094017094017094
Random;100;2;W_Completeren aanvraag;0.2790224032586558
Random;100;2;W_Nabellen offertes;0.16089613034623218
Random;100;2;W_Valideren aanvraag;0.0814663951120163
Random;100;2;O_SENT;0.048879837067209775
Random;100;2;O_CREATED;0.048879837067209775
Random;100;2;O_SELECTED;0.048879837067209775
Random;100;2;O_CANCELLED;0.048879837067209775
Random;100;2;A_CANCELLED;0.034623217922606926
Random;100;2;A_ACTIVATED;0.026476578411405296
Random;100;2;A_APPROVED;0.026476578411405296
Random;100;2;A_REGISTERED;0.026476578411405296
Random;100;2;O_ACCEPTED;0.026476578411405296
Random;100;2;W_Nabellen incomplete dossiers;0.02240325865580448
Random;100;2;O_SENT_BACK;0.02240325865580448
Random;100;2;A_FINALIZED;0.020366598778004074
Random;100;2;A_ACCEPTED;0.020366598778004074
Random;100;2;W_Beoordelen fraude;0.016293279022403257
Random;100;2;A_DECLINED;0.016293279022403257
Random;100;2;O_DECLINED;0.012219959266802444
Random;100;2;W_Afhandelen leads;0.012219959266802444
Random;100;3;W_Completeren aanvraag;0.2537634408602151
Random;100;3;W_Nabellen offertes;0.22795698924731184
Random;100;3;W_Valideren aanvraag;0.09247311827956989
Random;100;3;A_CANCELLED;0.04516129032258064
Random;100;3;O_CANCELLED;0.03655913978494624
Random;100;3;O_SENT;0.034408602150537634
Random;100;3;O_CREATED;0.034408602150537634
Random;100;3;O_SELECTED;0.034408602150537634
Random;100;3;A_APPROVED;0.03225806451612903
Random;100;3;A_REGISTERED;0.03225806451612903
Random;100;3;O_ACCEPTED;0.03225806451612903
Random;100;3;A_ACTIVATED;0.03225806451612903
Random;100;3;A_DECLINED;0.025806451612903226
Random;100;3;O_SENT_BACK;0.01935483870967742
Random;100;3;A_FINALIZED;0.01935483870967742
Random;100;3;A_ACCEPTED;0.01935483870967742
Random;100;3;W_Afhandelen leads;0.017204301075268817
Random;100;3;O_DECLINED;0.010752688172043012
