approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;93;71;126;12;0.9379004435682602;0.0;0.00023055076599121094;0.004709005355834961
Random;100;1;93;66;126;12;0.93600812595226;0.0;5.602836608886719e-05;0.0040416717529296875
Random;100;2;93;67;131;12;0.9375595805529076;0.0;5.793571472167969e-05;0.004003047943115234
Random;100;3;91;72;154;12;0.9209445585215605;0.0;5.8650970458984375e-05;0.0055027008056640625
Random;100;4;90;64;132;13;0.9335347432024169;0.0;6.008148193359375e-05;0.0037953853607177734
Random;100;5;95;69;151;13;0.9335971855760774;0.0;6.127357482910156e-05;0.004286766052246094
Random;100;6;92;70;148;12;0.9189928845101258;0.0;6.556510925292969e-05;0.004068613052368164
Random;100;7;95;63;124;13;0.9405845711547676;0.0;6.222724914550781e-05;0.0039408206939697266
Random;100;8;93;68;148;12;0.9251769464105157;0.0;5.936622619628906e-05;0.003960847854614258
Random;100;9;94;66;137;13;0.9327111984282908;0.0;5.984306335449219e-05;0.0038499832153320312
Random;200;0;176;138;276;13;0.9307750188111362;0.0;0.00010347366333007812;0.006520986557006836
Random;200;1;180;140;251;13;0.9388848307767227;0.0;0.00010967254638671875;0.005049228668212891
Random;200;2;174;140;284;14;0.9323164918970448;0.0;0.00010991096496582031;0.00632786750793457
Random;200;3;176;139;275;14;0.9296855024290462;0.0;0.000102996826171875;0.0061435699462890625
Random;200;4;184;137;271;13;0.9353684712616265;0.0;0.00010132789611816406;0.0052416324615478516
Random;200;5;172;138;265;12;0.9346001974333662;0.0;0.0002300739288330078;0.00565028190612793
Random;200;6;176;141;304;12;0.9264100702009199;0.0;0.00011730194091796875;0.0048983097076416016
Random;200;7;185;129;267;14;0.9367748046412503;0.0;9.989738464355469e-05;0.0053179264068603516
Random;200;8;183;137;264;13;0.9364926629781092;0.0;0.00010585784912109375;0.005200862884521484
Random;200;9;181;135;290;12;0.9239643418982695;0.0;0.00010609626770019531;0.00484776496887207
Random;300;0;271;202;400;13;0.9351701782820098;0.0;0.00015044212341308594;0.006097078323364258
Random;300;1;261;206;424;13;0.9298245614035088;0.0;0.00016736984252929688;0.005273342132568359
Random;300;2;254;213;433;14;0.9277731442869057;0.0;0.00015783309936523438;0.007817745208740234
Random;300;3;264;195;396;12;0.9372623574144486;0.0;0.0001571178436279297;0.0058329105377197266
Random;300;4;261;209;428;13;0.9277515192437542;0.0;0.00016999244689941406;0.007102489471435547
Random;300;5;257;194;379;14;0.939028314028314;0.0;0.00015544891357421875;0.006394863128662109
Random;300;6;266;192;355;13;0.9410396944029231;0.0;0.0001552104949951172;0.006517171859741211
Random;300;7;265;204;394;13;0.9358828315703824;0.0;0.0001583099365234375;0.009670734405517578
Random;300;8;256;207;423;14;0.9297108673978066;0.0;0.00015020370483398438;0.006563901901245117
Random;300;9;255;207;430;14;0.9288903588556309;0.0;0.0002319812774658203;0.006422519683837891
Random;400;0;349;262;522;13;0.9379826541523109;0.0;0.0001404285430908203;0.008636713027954102
Random;400;1;349;275;558;14;0.9317765007947182;0.0;0.00013828277587890625;0.008168458938598633
Random;400;2;343;260;498;14;0.9396802325581395;0.0;0.00014209747314453125;0.006422996520996094
Random;400;3;344;266;551;14;0.93459940652819;0.0;0.0001461505889892578;0.008622169494628906
Random;400;4;346;273;527;14;0.9358802774060104;0.0;0.00014400482177734375;0.007079601287841797
Random;400;5;346;276;557;13;0.9298400302305077;0.0;0.00014519691467285156;0.008818864822387695
Random;400;6;337;260;504;14;0.9359104781281791;0.0;0.00013780593872070312;0.008819103240966797
Random;400;7;343;270;533;13;0.9357599132216464;0.0;0.00017952919006347656;0.008258581161499023
Random;400;8;345;268;532;13;0.9352088661551577;0.0;0.00013709068298339844;0.006980180740356445
Random;400;9;353;279;545;13;0.9314982403217698;0.0;0.0003173351287841797;0.008499622344970703
Random;500;0;410;340;688;14;0.93383979228772;0.0;0.00016689300537109375;0.010603904724121094
Random;500;1;422;343;659;13;0.9361000678754969;0.0;0.00017023086547851562;0.008207559585571289
Random;500;2;425;350;688;14;0.9328518446222916;0.0;0.00019478797912597656;0.00963735580444336
Random;500;3;418;333;650;14;0.9365853658536585;0.0;0.00031948089599609375;0.007762908935546875
Random;500;4;418;346;669;14;0.9340756799369334;0.0;0.0001780986785888672;0.009255647659301758
Random;500;5;432;323;634;13;0.9362173038229377;0.0;0.00017905235290527344;0.008480072021484375
Random;500;6;422;342;669;14;0.9353123187004448;0.0;0.00016927719116210938;0.008919715881347656
Random;500;7;421;346;678;13;0.9351878405506165;0.0;0.00018310546875;0.009113550186157227
Random;500;8;413;330;640;14;0.9376096705010724;0.0;0.00016880035400390625;0.008834362030029297
