approach;total_size;partition;partition_size
Feature;609;trace:AMOUNT_REQ@20000;623
Feature;609;event:org:resource@10629;640
Feature;609;event:org:resource@10862;160
Feature;609;event:org:resource@10913;1664
Feature;609;event:org:resource@11049;1245
Feature;609;event:org:resource@112;13087
Feature;609;event:concept:name@A_ACCEPTED;5113
Feature;609;event:concept:name@A_ACTIVATED;2246
Feature;609;event:concept:name@A_APPROVED;2246
Feature;609;event:concept:name@A_FINALIZED;5015
Feature;609;event:concept:name@A_PARTLYSUBMITTED;13087
Feature;609;event:concept:name@A_PREACCEPTED;7367
Feature;609;event:concept:name@A_REGISTERED;2246
Feature;609;event:concept:name@A_SUBMITTED;13087
Feature;609;event:concept:name@O_ACCEPTED;2243
Feature;609;event:concept:name@O_CREATED;5015
Feature;609;event:concept:name@O_SELECTED;5015
Feature;609;event:concept:name@O_SENT;5015
Feature;609;event:concept:name@O_SENT_BACK;3254
Feature;609;event:concept:name@W_Completeren aanvraag;7367
Feature;609;event:concept:name@W_Nabellen offertes;5015
Feature;609;event:concept:name@W_Valideren aanvraag;3254
Feature;609;A_SUBMITTED#A_PARTLYSUBMITTED#A_PREACCEPTED;4852
Feature;609;A_PARTLYSUBMITTED#A_PREACCEPTED#W_Completeren aanvraag;4852
Feature;609;A_PREACCEPTED#W_Completeren aanvraag#W_Completeren aanvraag;4852
Feature;609;W_Completeren aanvraag#W_Completeren aanvraag#A_ACCEPTED;4502
Feature;609;W_Completeren aanvraag#A_ACCEPTED#O_SELECTED;2879
Feature;609;A_ACCEPTED#O_SELECTED#A_FINALIZED;2879
Feature;609;O_SELECTED#A_FINALIZED#O_CREATED;2907
Feature;609;A_FINALIZED#O_CREATED#O_SENT;2907
Feature;609;O_CREATED#O_SENT#W_Nabellen offertes;5015
Feature;609;O_SENT#W_Nabellen offertes#W_Completeren aanvraag;5014
Feature;609;W_Nabellen offertes#W_Completeren aanvraag#W_Nabellen offertes;5010
Feature;609;W_Completeren aanvraag#W_Nabellen offertes#W_Nabellen offertes;3545
Feature;609;W_Nabellen offertes#W_Nabellen offertes#W_Nabellen offertes;4272
Feature;609;W_Nabellen offertes#W_Nabellen offertes#O_SENT_BACK;2693
Feature;609;W_Nabellen offertes#O_SENT_BACK#W_Valideren aanvraag;3254
Feature;609;O_SENT_BACK#W_Valideren aanvraag#W_Nabellen offertes;3254
Feature;609;W_Valideren aanvraag#W_Nabellen offertes#W_Valideren aanvraag;3207
Feature;609;W_Nabellen offertes#W_Valideren aanvraag#A_REGISTERED;68
Feature;609;W_Valideren aanvraag#A_REGISTERED#A_APPROVED;102
Feature;609;A_REGISTERED#A_APPROVED#O_ACCEPTED;48
Feature;609;A_APPROVED#O_ACCEPTED#A_ACTIVATED;208
Feature;609;O_ACCEPTED#A_ACTIVATED#W_Valideren aanvraag;102
Feature;609;trace:AMOUNT_REQ@5000;1957
Feature;609;event:org:resource@10809;744
Feature;609;event:org:resource@11120;294
Feature;609;event:concept:name@O_CANCELLED;2660
Feature;609;W_Completeren aanvraag#W_Completeren aanvraag#W_Completeren aanvraag;4399
Feature;609;W_Completeren aanvraag#A_ACCEPTED#A_FINALIZED;2089
Feature;609;A_ACCEPTED#A_FINALIZED#O_SELECTED;2089
Feature;609;A_FINALIZED#O_SELECTED#O_CREATED;2107
Feature;609;O_SELECTED#O_CREATED#O_SENT;2616
Feature;609;W_Nabellen offertes#W_Nabellen offertes#O_SELECTED;354
Feature;609;W_Nabellen offertes#O_SELECTED#O_CANCELLED;674
Feature;609;O_SELECTED#O_CANCELLED#O_CREATED;815
Feature;609;O_CANCELLED#O_CREATED#O_SENT;815
Feature;609;O_SENT#W_Nabellen offertes#W_Nabellen offertes;1266
Feature;609;W_Nabellen offertes#W_Valideren aanvraag#W_Valideren aanvraag;1112
Feature;609;W_Valideren aanvraag#W_Valideren aanvraag#W_Valideren aanvraag;1435
Feature;609;W_Valideren aanvraag#W_Valideren aanvraag#O_ACCEPTED;381
Feature;609;W_Valideren aanvraag#O_ACCEPTED#A_APPROVED;480
Feature;609;O_ACCEPTED#A_APPROVED#A_REGISTERED;310
Feature;609;A_APPROVED#A_REGISTERED#A_ACTIVATED;310
